"",BBK01.OEHL05N,BBK01.OEHL05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:56,
2002-01,0.016,
2002-04,0.015,
2002-07,0.014,
2002-10,0.018,
2003-01,0.017,
2003-04,0.018,
2003-07,0.016,
2003-10,0.022,
2004-01,0.021,
2004-04,0.018,
2004-07,0.020,
2004-10,0.020,
2005-01,0.025,
2005-04,0.026,
2005-07,0.031,
2005-10,0.036,
2006-01,0.044,
2006-04,0.047,
2006-07,0.051,
2006-10,0.057,
2007-01,0.068,
2007-04,0.073,
2007-07,0.078,
2007-10,0.088,
2008-01,0.113,
2008-04,0.119,
2008-07,0.133,
2008-10,0.128,
2009-01,0.122,
2009-04,0.105,
2009-07,0.102,
2009-10,0.107,
2010-01,0.108,
2010-04,0.115,
2010-07,0.121,
2010-10,0.120,
2011-01,0.141,
2011-04,0.142,
2011-07,0.138,
2011-10,0.138,
2012-01,0.133,
2012-04,0.128,
2012-07,0.120,
2012-10,0.093,
2013-01,0.086,
2013-04,0.089,
2013-07,0.081,
2013-10,0.082,
2014-01,0.078,
2014-04,0.076,
2014-07,0.077,
