"",BBK01.OEHL04M,BBK01.OEHL04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:49,
2002-01,1.710,
2002-04,1.657,
2002-07,1.631,
2002-10,1.588,
2003-01,1.593,
2003-04,1.517,
2003-07,1.366,
2003-10,1.237,
2004-01,1.191,
2004-04,1.151,
2004-07,1.110,
2004-10,1.016,
2005-01,1.006,
2005-04,0.981,
2005-07,0.951,
2005-10,0.900,
2006-01,0.934,
2006-04,0.926,
2006-07,0.980,
2006-10,0.968,
2007-01,1.050,
2007-04,1.063,
2007-07,1.189,
2007-10,1.347,
2008-01,1.482,
2008-04,1.598,
2008-07,1.732,
2008-10,1.876,
2009-01,1.195,
2009-04,0.858,
2009-07,0.648,
2009-10,0.482,
2010-01,0.491,
2010-04,0.450,
2010-07,0.443,
2010-10,0.502,
2011-01,0.504,
2011-04,0.536,
2011-07,0.568,
2011-10,0.540,
2012-01,0.499,
2012-04,0.467,
2012-07,0.402,
2012-10,0.341,
2013-01,0.322,
2013-04,0.283,
2013-07,0.256,
2013-10,0.249,
2014-01,0.213,
2014-04,0.197,
2014-07,0.173,
