"",BBK01.OELK01R,BBK01.OELK01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:13,
2002-01,0.263,
2002-04,0.258,
2002-07,0.286,
2002-10,0.285,
2003-01,0.255,
2003-04,0.262,
2003-07,0.279,
2003-10,0.288,
2004-01,0.260,
2004-04,0.270,
2004-07,0.296,
2004-10,0.303,
2005-01,0.261,
2005-04,0.266,
2005-07,0.292,
2005-10,0.312,
2006-01,0.248,
2006-04,0.246,
2006-07,0.281,
2006-10,0.295,
2007-01,0.275,
2007-04,0.288,
2007-07,0.313,
2007-10,0.339,
2008-01,0.302,
2008-04,0.296,
2008-07,0.333,
2008-10,0.353,
2009-01,0.325,
2009-04,0.323,
2009-07,0.352,
2009-10,0.345,
2010-01,0.323,
2010-04,0.338,
2010-07,0.368,
2010-10,0.367,
2011-01,0.339,
2011-04,0.351,
2011-07,0.388,
2011-10,0.403,
2012-01,0.369,
2012-04,0.460,
2012-07,0.512,
2012-10,0.515,
2013-01,0.479,
2013-04,0.484,
2013-07,0.538,
2013-10,0.559,
2014-01,0.539,
2014-04,0.545,
2014-07,0.597,
