"",BBEX3.M.AOA.USD.CA.AC.A01,BBEX3.M.AOA.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Angola / USD 1 = AOA ... (middle),
unit,AOA (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:42,
1999-12,5.570220,comment
2000-01,5.893390,
2000-02,5.892990,
2000-03,5.965390,
2000-04,6.772545,
2000-05,8.546785,
2000-06,10.275245,
2000-07,11.272820,
2000-08,12.447990,
2000-09,12.945340,
2000-10,13.845505,
2000-11,15.039365,
2000-12,16.702445,
2001-01,18.828680,
2001-02,19.605270,
2001-03,19.478150,
2001-04,19.464740,
2001-05,19.628635,
2001-06,20.207690,
2001-07,20.921325,
2001-08,22.352905,
2001-09,24.077490,
2001-10,26.405765,
2001-11,28.466340,
2001-12,31.949355,
2002-01,33.883720,
2002-02,35.536670,
2002-03,37.045790,
2002-04,38.919400,
2002-05,41.018520,
2002-06,43.345680,
2002-07,45.533510,
2002-08,47.314005,
2002-09,49.508950,
2002-10,51.696480,
2002-11,54.824440,
2002-12,58.666370,
2003-01,62.921515,
2003-02,66.202685,
2003-03,68.620970,
2003-04,71.595210,
2003-05,74.420275,
2003-06,78.514215,
2003-07,83.559135,
2003-08,86.139660,
2003-09,79.253395,
2003-10,78.602530,
2003-11,78.045535,
2003-12,79.081490,comment
2004-01,80.339390,
2004-02,79.934620,
2004-03,80.856500,
2004-04,81.896680,
2004-05,82.597155,
2004-06,83.558565,
2004-07,84.095535,
2004-08,85.340610,
2004-09,86.904780,
2004-10,87.058895,
2004-11,86.684320,
2004-12,85.573380,
2005-01,87.193605,
2005-02,87.038735,
2005-03,87.113905,
2005-04,88.016675,
2005-05,88.976670,
2005-06,89.183645,
2005-07,89.198180,
2005-08,89.198910,
2005-09,89.205840,
2005-10,87.628955,
2005-11,80.767375,
2005-12,80.779505,
2006-01,80.348340,
2006-02,80.356150,
2006-03,80.358265,
2006-04,80.375365,
2006-05,80.361975,
2006-06,80.373635,
2006-07,80.374870,
2006-08,80.369010,
2006-09,80.372520,
2006-10,80.375690,
2006-11,80.207775,comment
2006-12,80.283360,
2007-01,80.276850,
2007-02,79.967420,
2007-03,79.965185,
2007-04,78.814500,
2007-05,74.975000,
2007-06,74.970000,
2007-07,74.970000,
2007-08,74.973000,
2007-09,74.986000,
2007-10,75.002500,
2007-11,75.015000,
2007-12,75.023000,
2008-01,75.037000,
2008-02,75.038000,
2008-03,75.063000,
2008-04,75.015000,
2008-05,75.009000,
2008-06,75.022000,
2008-07,75.016000,
2008-08,75.021000,
2008-09,75.026000,
2008-10,75.029000,
2008-11,75.028000,
2008-12,75.168500,
2009-01,75.129500,
2009-02,75.713000,
2009-03,75.488000,
2009-04,77.806000,
2009-05,77.806000,
2009-06,77.806000,
2009-07,77.806000,
2009-08,77.806000,
2009-09,77.806000,
2009-10,84.389500,
2009-11,87.947000,
2009-12,89.398000,
2010-01,90.121500,
2010-02,90.357500,
2010-03,92.861000,
2010-04,93.484500,
2010-05,92.582000,
2010-06,92.572500,
2010-07,92.572000,
2010-08,90.282500,
2010-09,91.802000,
2010-10,92.758500,
2010-11,92.274000,
2010-12,92.643000,
2011-01,93.189500,
2011-02,93.263500,
2011-03,93.269500,
2011-04,93.275500,
2011-05,93.282500,
2011-06,93.304500,
2011-07,93.316500,
2011-08,93.442000,
2011-09,94.697000,
2011-10,95.165500,
2011-11,95.251500,
2011-12,95.281500,
2012-01,95.293000,
2012-02,95.304500,
2012-03,95.317000,
2012-04,95.330500,
2012-05,95.345000,
2012-06,95.360500,
2012-07,95.377000,
2012-08,95.393000,
2012-09,95.417000,
2012-10,95.470000,
2012-11,95.712000,
2012-12,95.826000,
2013-01,95.939500,
2013-02,95.961500,
2013-03,95.983500,
2013-04,96.044500,
2013-05,96.168000,
2013-06,96.311500,
2013-07,95.949500,
2013-08,96.050500,
2013-09,97.393500,
2013-10,97.024000,
2013-11,97.387000,
2013-12,97.618500,
2014-01,97.614500,
2014-02,97.602500,
2014-03,97.611500,
2014-04,97.635500,
2014-05,97.659500,
2014-06,97.579500,
2014-07,97.083000,
2014-08,97.609500,
2014-09,98.318500,
2014-10,99.560000,
2014-11,100.981500,
2014-12,102.863000,
2015-01,104.170500,
"","General: With effect from 13 December 1999, a currency changeover took place to the ratio of 1,000,000 AOR (readjusted kwanza) = 1 AOA (kwanza).",
"","Source: Calculated on the basis of the buying and selling rates of the Banco Nacional de Angola, Luanda.",
"","Comment on 1999-12: With effect from 13 December 1999, a currency changeover took place. We recorded the following exchange rates (buying/selling rate). 10 December 1999: USD 1 = AOR 5,411,295 / 5,497,82613 December 1999: USD 1 = AOA 5.40 / 5.50.",
"",Comment on 2003-12: Exchange rate as of 5 January 2004.,
"",Comment on 2006-11: Exchange rate as of 1 December 2006.,
