"",BBK01.OELB13M,BBK01.OELB13M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:10,
2002-01,8.971,
2002-04,9.102,
2002-07,9.081,
2002-10,9.043,
2003-01,8.988,
2003-04,9.060,
2003-07,9.073,
2003-10,8.937,
2004-01,8.930,
2004-04,8.952,
2004-07,8.897,
2004-10,8.860,
2005-01,8.829,
2005-04,8.862,
2005-07,8.890,
2005-10,8.851,
2006-01,8.889,
2006-04,8.977,
2006-07,9.010,
2006-10,8.932,
2007-01,8.993,
2007-04,9.160,
2007-07,9.183,
2007-10,9.104,
2008-01,9.160,
2008-04,9.279,
2008-07,9.372,
2008-10,9.330,
2009-01,9.402,
2009-04,9.581,
2009-07,9.730,
2009-10,9.796,
2010-01,9.911,
2010-04,10.257,
2010-07,10.418,
2010-10,10.403,
2011-01,10.485,
2011-04,10.699,
2011-07,10.993,
2011-10,11.787,
2012-01,11.910,
2012-04,13.706,
2012-07,13.807,
2012-10,13.831,
2013-01,13.844,
2013-04,14.005,
2013-07,13.976,
2013-10,13.954,
2014-01,14.053,
2014-04,14.246,
2014-07,14.364,
