"",BBFN1.M.DE.N.1.A.PH.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PH.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Philippines,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:33,
1975-12,0.007,
1976-01,0.007,
1976-02,0.007,
1976-03,0.007,
1976-04,0.007,
1976-05,0.007,
1976-06,0.006,
1976-07,0.008,
1976-08,0.009,
1976-09,0.008,
1976-10,0.009,
1976-11,0.009,
1976-12,0.010,
1977-01,0.010,
1977-02,0.010,
1977-03,0.009,
1977-04,0.009,
1977-05,0.009,
1977-06,0.008,
1977-07,0.009,
1977-08,0.009,
1977-09,0.008,
1977-10,0.007,
1977-11,0.007,
1977-12,0.010,
1978-01,0.010,
1978-02,0.009,
1978-03,0.009,
1978-04,0.008,
1978-05,0.006,
1978-06,0.006,
1978-07,0.006,
1978-08,0.006,
1978-09,0.005,
1978-10,0.005,
1978-11,0.005,
1978-12,0.005,
1979-01,0.005,
1979-02,0.005,
1979-03,0.005,
1979-04,0.005,
1979-05,0.005,
1979-06,0.005,
1979-07,0.005,
1979-08,0.006,
1979-09,0.006,
1979-10,0.006,
1979-11,0.006,
1979-12,0.006,
1980-01,0.006,
1980-02,0.003,
1980-03,0.006,
1980-04,0.005,
1980-05,0.005,
1980-06,0.005,
1980-07,0.005,
1980-08,0.005,
1980-09,0.005,
1980-10,0.005,
1980-11,0.007,
1980-12,0.004,
1981-01,0.005,
1981-02,0.005,
1981-03,0.005,
1981-04,0.005,
1981-05,0.005,
1981-06,0.004,
1981-07,0.005,
1981-08,0.005,
1981-09,0.004,
1981-10,0.005,
1981-11,0.005,
1981-12,0.007,
1982-01,0.005,
1982-02,0.005,
1982-03,0.005,
1982-04,0.006,
1982-05,0.005,
1982-06,0.005,
1982-07,0.006,
1982-08,0.006,
1982-09,0.006,
1982-10,0.005,
1982-11,0.006,
1982-12,0.004,
1983-01,0.005,
1983-02,0.006,
1983-03,0.007,
1983-04,0.004,
1983-05,0.007,
1983-06,0.006,
1983-07,0.008,
1983-08,0.008,
1983-09,0.010,
1983-10,0.010,
1983-11,0.009,
1983-12,0.009,
1984-01,0.009,
1984-02,0.008,
1984-03,0.008,
1984-04,0.006,
1984-05,0.006,
1984-06,0.005,
1984-07,0.005,
1984-08,0.006,
1984-09,0.006,
1984-10,0.005,
1984-11,0.005,
1984-12,0.005,
1985-01,0.005,
1985-02,0.005,
1985-03,0.003,
1985-04,0.003,
1985-05,0.004,
1985-06,0.004,
1985-07,0.004,
1985-08,0.004,
1985-09,0.004,
1985-10,0.003,
1985-11,0.004,
1985-12,0.004,
1986-01,0.004,
1986-02,0.003,
1986-03,0.003,
1986-04,0.003,
1986-05,0.003,
1986-06,0.003,
1986-07,0.003,
1986-08,0.003,
1986-09,0.003,
1986-10,0.003,
1986-11,0.003,
1986-12,0.003,
1987-01,0.003,
1987-02,0.003,
1987-03,0.003,
1987-04,0.003,
1987-05,0.003,
1987-06,0.003,
1987-07,0.003,
1987-08,0.003,
1987-09,0.003,
1987-10,0.003,
1987-11,0.003,
1987-12,0.003,
1988-01,0.003,
1988-02,0.003,
1988-03,0.002,
1988-04,0.003,
1988-05,0.003,
1988-06,0.002,
1988-07,0.002,
1988-08,0.003,
1988-09,0.003,
1988-10,0.003,
1988-11,0.003,
1988-12,0.003,
1989-01,0.003,
1989-02,0.003,
1989-03,0.003,
1989-04,0.003,
1989-05,0.003,
1989-06,0.003,
1989-07,0.003,
1989-08,0.003,
1989-09,0.003,
1989-10,0.013,
1989-11,0.012,
1989-12,0.003,
1990-01,0.013,
1990-02,0.013,
1990-03,0.013,
1990-04,0.013,
1990-05,0.013,
1990-06,0.012,
1990-07,0.012,
1990-08,0.013,
1990-09,0.011,
1990-10,0.011,
1990-11,0.005,
1990-12,0.004,
1991-01,0.003,
1991-02,0.004,
1991-03,0.004,
1991-04,0.004,
1991-05,0.003,
1991-06,0.004,
1991-07,0.009,
1991-08,0.009,
1991-09,0.008,
1991-10,0.007,
1991-11,0.006,
1991-12,0.005,
1992-01,0.005,
1992-02,0.005,
1992-03,0.004,
1992-04,0.005,
1992-05,0.005,
1992-06,0.004,
1992-07,0.004,
1992-08,0.005,
1992-09,0.005,
1992-10,0.005,
1992-11,0.006,
1992-12,0.007,
1993-01,0.007,
1993-02,0.008,
1993-03,0.008,
1993-04,0.008,
1993-05,0.008,
1993-06,0.009,
1993-07,0.010,
1993-08,0.009,
1993-09,0.009,
1993-10,0.011,
1993-11,0.012,
1993-12,0.012,
1994-01,0.011,
1994-02,0.011,
1994-03,0.011,
1994-04,0.020,
1994-05,0.020,
1994-06,0.022,
1994-07,0.034,
1994-08,0.034,
1994-09,0.036,
1994-10,0.034,
1994-11,0.033,
1994-12,0.021,
1995-01,0.021,
1995-02,0.020,
1995-03,0.019,
1995-04,0.019,
1995-05,0.022,
1995-06,0.023,
1995-07,0.025,
1995-08,0.024,
1995-09,0.024,
1995-10,0.021,
1995-11,0.024,
1995-12,0.020,
1996-01,0.022,
1996-02,0.025,
1996-03,0.027,
1996-04,0.028,
1996-05,0.032,
1996-06,0.036,
1996-07,0.038,
1996-08,0.043,
1996-09,0.042,
1996-10,0.043,
1996-11,0.035,
1996-12,0.030,
1997-01,0.034,
1997-02,0.128,
1997-03,0.031,
1997-04,0.034,
1997-05,0.034,
1997-06,0.038,
1997-07,0.032,
1997-08,0.034,
1997-09,0.021,
1997-10,0.015,
1997-11,0.021,
1997-12,0.020,
1998-01,0.019,
1998-02,0.018,
1998-03,0.013,
1998-04,0.027,
1998-05,0.032,
1998-06,0.033,
1998-07,0.032,
1998-08,0.095,
1998-09,0.093,
1998-10,0.023,
1998-11,0.086,
1998-12,0.030,
1999-01,0.030,
1999-02,0.030,
1999-03,0.038,
1999-04,0.057,
1999-05,0.047,
1999-06,0.057,
1999-07,0.076,
1999-08,0.078,
1999-09,0.251,
1999-10,0.253,
1999-11,0.242,
1999-12,0.246,
2000-01,0.076,
2000-02,0.078,
2000-03,0.092,
2000-04,0.088,
2000-05,0.092,
2000-06,0.102,
2000-07,0.101,
2000-08,0.102,
2000-09,0.098,
2000-10,0.097,
2000-11,0.095,
2000-12,0.117,
2001-01,0.094,
2001-02,0.097,
2001-03,0.102,
2001-04,0.163,
2001-05,0.219,
2001-06,0.236,
2001-07,0.156,
2001-08,0.186,
2001-09,0.138,
2001-10,0.138,
2001-11,0.136,
