"",BBK01.OEXO04K,BBK01.OEXO04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:36,
2002-01,-0.013,
2002-04,-0.058,
2002-07,0.009,
2002-10,0.038,
2003-01,0.081,
2003-04,-0.026,
2003-07,-0.040,
2003-10,-0.025,
2004-01,-0.022,
2004-04,-0.040,
2004-07,-0.064,
2004-10,-0.046,
2005-01,0.016,
2005-04,-0.006,
2005-07,-0.037,
2005-10,0.014,
2006-01,0.021,
2006-04,0.022,
2006-07,-0.028,
2006-10,0.022,
2007-01,0.152,
2007-04,0.061,
2007-07,0.044,
2007-10,0.102,
2008-01,0.103,
2008-04,0.022,
2008-07,0.044,
2008-10,0.388,
2009-01,-0.060,
2009-04,0.007,
2009-07,0.029,
2009-10,-0.139,
2010-01,-0.137,
2010-04,-0.033,
2010-07,0.005,
2010-10,0.105,
2011-01,0.068,
2011-04,-0.103,
2011-07,-0.060,
2011-10,-0.052,
2012-01,-0.065,
2012-04,0.022,
2012-07,0.040,
2012-10,-0.032,
2013-01,-0.069,
2013-04,-0.041,
2013-07,-0.028,
2013-10,-0.013,
2014-01,-0.037,
2014-04,-0.022,
2014-07,0.085,
