"",BBK01.OEAA55T,BBK01.OEAA55T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:38,
2002-01,0.038,
2002-04,0.034,
2002-07,0.034,
2002-10,0.109,
2003-01,0.411,
2003-04,0.391,
2003-07,0.385,
2003-10,0.360,
2004-01,0.370,
2004-04,0.373,
2004-07,0.029,
2004-10,0.024,
2005-01,0.027,
2005-04,0.027,
2005-07,0.027,
2005-10,0.026,
2006-01,0.026,
2006-04,0.028,
2006-07,0.027,
2006-10,0.026,
2007-01,0.025,
2007-04,0.021,
2007-07,0.029,
2007-10,0.021,
2008-01,0.021,
2008-04,0.022,
2008-07,0.023,
2008-10,0.029,
2009-01,0.029,
2009-04,0.046,
2009-07,0.046,
2009-10,0.049,
2010-01,0.042,
2010-04,0.043,
2010-07,0.034,
2010-10,0.033,
2011-01,0.033,
2011-04,0.034,
2011-07,0.035,
2011-10,0.034,
2012-01,0.057,
2012-04,0.061,
2012-07,0.061,
2012-10,0.075,
2013-01,0.079,
2013-04,0.083,
2013-07,0.088,
2013-10,0.087,
2014-01,0.097,
2014-04,0.096,
2014-07,0.108,
