"",BBK01.CEHF2Q,BBK01.CEHF2Q_FLAGS
"",longer-term loans (consolidated) debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:10,
1991-01,0.5,
1991-04,0.1,
1991-07,-0.1,
1991-10,1.0,
1992-01,0.1,
1992-04,0.4,
1992-07,0.4,
1992-10,1.6,
1993-01,0.3,
1993-04,0.5,
1993-07,-0.1,
1993-10,1.3,
1994-01,2.4,
1994-04,-0.1,
1994-07,0.1,
1994-10,1.7,
1995-01,0.8,
1995-04,1.2,
1995-07,0.9,
1995-10,0.2,
1996-01,0.8,
1996-04,0.7,
1996-07,1.6,
1996-10,1.0,
1997-01,0.1,
1997-04,0.8,
1997-07,2.1,
1997-10,1.5,
1998-01,2.2,
1998-04,6.7,
1998-07,-0.5,
1998-10,3.3,
1999-01,1.3,
1999-04,3.3,
1999-07,1.0,
1999-10,3.3,
2000-01,4.2,
2000-04,2.4,
2000-07,2.6,
2000-10,47.8,
2001-01,8.6,
2001-04,3.9,
2001-07,14.1,
2001-10,8.8,
2002-01,1.4,
2002-04,17.1,
2002-07,5.4,
2002-10,12.6,
2003-01,-5.2,
2003-04,7.5,
2003-07,6.8,
2003-10,-15.0,
2004-01,-23.8,
2004-04,4.1,
2004-07,-1.6,
2004-10,-9.3,
2005-01,4.2,
2005-04,3.8,
2005-07,2.2,
2005-10,5.3,
2006-01,10.6,
2006-04,8.9,
2006-07,5.7,
2006-10,3.8,
2007-01,-5.1,
2007-04,-0.1,
2007-07,6.9,
2007-10,-9.4,
2008-01,10.4,
2008-04,3.7,
2008-07,9.5,
2008-10,15.2,
2009-01,6.9,
2009-04,8.2,
2009-07,10.5,
2009-10,3.1,
2010-01,13.5,
2010-04,9.3,
2010-07,1.2,
2010-10,11.7,
2011-01,-0.7,
2011-04,-4.1,
2011-07,3.9,
2011-10,-2.3,
2012-01,5.3,
2012-04,5.4,
2012-07,-2.4,
2012-10,-7.1,
2013-01,1.7,
2013-04,0.0,
2013-07,-3.0,
2013-10,4.2,
2014-01,0.7,
