"",BBK01.OEAB23T,BBK01.OEAB23T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:47,
2002-01,0.131,
2002-04,0.109,
2002-07,0.109,
2002-10,0.101,
2003-01,0.091,
2003-04,0.094,
2003-07,0.092,
2003-10,0.093,
2004-01,0.090,
2004-04,0.100,
2004-07,0.112,
2004-10,0.115,
2005-01,0.117,
2005-04,0.093,
2005-07,0.118,
2005-10,0.112,
2006-01,0.106,
2006-04,0.094,
2006-07,0.104,
2006-10,0.113,
2007-01,0.107,
2007-04,0.104,
2007-07,0.129,
2007-10,0.097,
2008-01,0.144,
2008-04,0.134,
2008-07,0.116,
2008-10,0.157,
2009-01,0.119,
2009-04,0.116,
2009-07,0.116,
2009-10,0.124,
2010-01,0.123,
2010-04,0.093,
2010-07,0.117,
2010-10,0.110,
2011-01,0.119,
2011-04,0.086,
2011-07,0.100,
2011-10,0.130,
2012-01,0.150,
2012-04,0.199,
2012-07,0.179,
2012-10,0.177,
2013-01,0.171,
2013-04,0.169,
2013-07,0.222,
2013-10,0.193,
2014-01,0.190,
2014-04,0.176,
2014-07,0.161,
