"",BBK01.OEAF25H,BBK01.OEAF25H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:27,
2002-01,6.565,
2002-04,6.661,
2002-07,6.736,
2002-10,6.611,
2003-01,6.623,
2003-04,6.577,
2003-07,6.648,
2003-10,6.626,
2004-01,6.574,
2004-04,7.182,
2004-07,6.606,
2004-10,6.645,
2005-01,6.771,
2005-04,6.977,
2005-07,7.116,
2005-10,7.289,
2006-01,7.212,
2006-04,7.231,
2006-07,7.348,
2006-10,7.305,
2007-01,7.136,
2007-04,7.116,
2007-07,6.984,
2007-10,6.774,
2008-01,6.600,
2008-04,6.532,
2008-07,6.469,
2008-10,6.290,
2009-01,6.372,
2009-04,6.491,
2009-07,6.861,
2009-10,6.657,
2010-01,6.567,
2010-04,7.081,
2010-07,7.120,
2010-10,7.214,
2011-01,7.330,
2011-04,7.532,
2011-07,9.714,
2011-10,9.708,
2012-01,9.681,
2012-04,9.528,
2012-07,9.614,
2012-10,9.718,
2013-01,10.574,
2013-04,10.658,
2013-07,10.872,
2013-10,10.937,
2014-01,10.923,
2014-04,10.860,
2014-07,10.949,
