"",BBK01.OECL08O,BBK01.OECL08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:08,
2002-01,0.597,
2002-04,0.431,
2002-07,0.421,
2002-10,0.472,
2003-01,0.521,
2003-04,0.527,
2003-07,0.663,
2003-10,0.699,
2004-01,0.678,
2004-04,0.687,
2004-07,0.843,
2004-10,0.897,
2005-01,2.282,
2005-04,2.267,
2005-07,2.201,
2005-10,2.166,
2006-01,2.111,
2006-04,2.053,
2006-07,1.983,
2006-10,1.941,
2007-01,1.968,
2007-04,1.936,
2007-07,1.877,
2007-10,1.881,
2008-01,1.880,
2008-04,1.943,
2008-07,1.869,
2008-10,1.859,
2009-01,1.922,
2009-04,2.064,
2009-07,2.201,
2009-10,2.308,
2010-01,2.367,
2010-04,2.337,
2010-07,2.369,
2010-10,2.411,
2011-01,2.369,
2011-04,2.275,
2011-07,2.260,
2011-10,2.263,
2012-01,2.496,
2012-04,2.429,
2012-07,2.410,
2012-10,2.460,
2013-01,2.399,
2013-04,2.368,
2013-07,2.280,
2013-10,2.248,
2014-01,2.187,
2014-04,2.144,
2014-07,2.208,
