"",BBK01.OEAC53Q,BBK01.OEAC53Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:22,
2002-01,0.575,
2002-04,0.537,
2002-07,0.549,
2002-10,0.605,
2003-01,0.572,
2003-04,0.632,
2003-07,0.718,
2003-10,0.712,
2004-01,0.792,
2004-04,0.664,
2004-07,0.639,
2004-10,0.626,
2005-01,0.617,
2005-04,0.618,
2005-07,0.636,
2005-10,0.892,
2006-01,0.865,
2006-04,0.905,
2006-07,0.888,
2006-10,1.048,
2007-01,1.013,
2007-04,0.932,
2007-07,0.876,
2007-10,0.870,
2008-01,0.839,
2008-04,0.824,
2008-07,0.829,
2008-10,0.811,
2009-01,0.905,
2009-04,1.211,
2009-07,1.707,
2009-10,1.580,
2010-01,1.805,
2010-04,1.804,
2010-07,1.614,
2010-10,1.467,
2011-01,1.379,
2011-04,1.342,
2011-07,1.239,
2011-10,1.213,
2012-01,1.113,
2012-04,1.141,
2012-07,1.008,
2012-10,1.055,
2013-01,1.055,
2013-04,0.954,
2013-07,0.937,
2013-10,0.929,
2014-01,0.889,
2014-04,0.908,
2014-07,0.899,
