"",BBK01.OEHB24M,BBK01.OEHB24M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:05,
2002-01,1.214,
2002-04,1.216,
2002-07,1.209,
2002-10,1.182,
2003-01,1.195,
2003-04,1.179,
2003-07,1.220,
2003-10,1.236,
2004-01,1.305,
2004-04,1.337,
2004-07,1.344,
2004-10,1.351,
2005-01,1.329,
2005-04,1.352,
2005-07,1.354,
2005-10,1.352,
2006-01,1.341,
2006-04,1.320,
2006-07,1.305,
2006-10,1.250,
2007-01,1.238,
2007-04,1.211,
2007-07,1.195,
2007-10,1.182,
2008-01,1.201,
2008-04,1.172,
2008-07,1.169,
2008-10,1.221,
2009-01,1.246,
2009-04,1.330,
2009-07,1.399,
2009-10,1.456,
2010-01,1.410,
2010-04,1.416,
2010-07,1.430,
2010-10,1.537,
2011-01,1.537,
2011-04,1.652,
2011-07,1.694,
2011-10,1.729,
2012-01,1.722,
2012-04,1.762,
2012-07,1.734,
2012-10,1.790,
2013-01,1.780,
2013-04,1.696,
2013-07,1.727,
2013-10,1.760,
2014-01,1.788,
2014-04,1.694,
2014-07,1.764,
