"",BBK01.OEAH07N,BBK01.OEAH07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:14,
2002-01,76.547,
2002-04,76.673,
2002-07,78.259,
2002-10,77.770,
2003-01,79.370,
2003-04,78.961,
2003-07,81.047,
2003-10,75.232,
2004-01,75.482,
2004-04,78.480,
2004-07,79.677,
2004-10,67.592,
2005-01,77.571,
2005-04,78.034,
2005-07,76.021,
2005-10,77.434,
2006-01,80.204,
2006-04,85.764,
2006-07,88.959,
2006-10,91.767,
2007-01,93.942,
2007-04,96.510,
2007-07,99.559,
2007-10,99.675,
2008-01,101.534,
2008-04,102.778,
2008-07,95.214,
2008-10,98.791,
2009-01,100.835,
2009-04,101.581,
2009-07,104.740,
2009-10,105.512,
2010-01,112.050,
2010-04,108.261,
2010-07,106.499,
2010-10,108.769,
2011-01,107.433,
2011-04,107.464,
2011-07,106.006,
2011-10,105.655,
2012-01,104.225,
2012-04,102.336,
2012-07,100.435,
2012-10,98.147,
2013-01,99.955,
2013-04,98.681,
2013-07,95.538,
2013-10,95.633,
2014-01,93.816,
2014-04,91.526,
2014-07,93.249,
