"",BBK01.OEAA10M,BBK01.OEAA10M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:42,
2002-01,27.832,
2002-04,28.755,
2002-07,27.562,
2002-10,26.599,
2003-01,27.312,
2003-04,27.047,
2003-07,26.195,
2003-10,25.076,
2004-01,24.475,
2004-04,26.295,
2004-07,25.532,
2004-10,24.025,
2005-01,25.426,
2005-04,25.056,
2005-07,23.289,
2005-10,22.440,
2006-01,23.037,
2006-04,23.643,
2006-07,23.259,
2006-10,23.002,
2007-01,22.882,
2007-04,23.681,
2007-07,23.962,
2007-10,23.870,
2008-01,26.033,
2008-04,25.041,
2008-07,24.494,
2008-10,24.793,
2009-01,26.480,
2009-04,25.315,
2009-07,23.125,
2009-10,21.633,
2010-01,22.903,
2010-04,20.497,
2010-07,20.466,
2010-10,20.759,
2011-01,21.526,
2011-04,22.487,
2011-07,21.942,
2011-10,22.327,
2012-01,21.620,
2012-04,21.712,
2012-07,21.884,
2012-10,21.554,
2013-01,21.031,
2013-04,21.050,
2013-07,20.810,
2013-10,20.667,
2014-01,19.474,
2014-04,20.140,
2014-07,21.328,
