"",BBK01.OEAE02P,BBK01.OEAE02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:03,
2002-01,0.427,
2002-04,0.443,
2002-07,0.440,
2002-10,0.461,
2003-01,0.463,
2003-04,0.424,
2003-07,0.497,
2003-10,0.520,
2004-01,0.540,
2004-04,0.549,
2004-07,0.558,
2004-10,0.559,
2005-01,0.567,
2005-04,0.583,
2005-07,0.581,
2005-10,0.558,
2006-01,0.536,
2006-04,0.548,
2006-07,0.513,
2006-10,0.510,
2007-01,0.484,
2007-04,0.476,
2007-07,0.480,
2007-10,0.507,
2008-01,0.523,
2008-04,0.551,
2008-07,0.569,
2008-10,0.571,
2009-01,0.873,
2009-04,0.808,
2009-07,0.837,
2009-10,0.856,
2010-01,0.886,
2010-04,0.866,
2010-07,0.864,
2010-10,0.873,
2011-01,0.776,
2011-04,0.788,
2011-07,0.801,
2011-10,0.823,
2012-01,0.843,
2012-04,0.872,
2012-07,0.883,
2012-10,0.853,
2013-01,0.875,
2013-04,0.868,
2013-07,0.857,
2013-10,0.915,
2014-01,0.884,
2014-04,0.903,
2014-07,0.898,
