"",BBK01.OEBB22L,BBK01.OEBB22L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:23,
2002-01,7.797,
2002-04,3.558,
2002-07,3.390,
2002-10,5.178,
2003-01,3.768,
2003-04,4.064,
2003-07,4.027,
2003-10,5.031,
2004-01,10.229,
2004-04,7.912,
2004-07,7.128,
2004-10,6.101,
2005-01,7.195,
2005-04,7.497,
2005-07,6.750,
2005-10,7.719,
2006-01,7.523,
2006-04,4.978,
2006-07,4.558,
2006-10,4.682,
2007-01,2.916,
2007-04,3.710,
2007-07,3.684,
2007-10,4.472,
2008-01,4.468,
2008-04,6.139,
2008-07,7.000,
2008-10,8.717,
2009-01,12.398,
2009-04,11.343,
2009-07,12.809,
2009-10,9.274,
2010-01,13.077,
2010-04,12.278,
2010-07,12.909,
2010-10,18.648,
2011-01,21.866,
2011-04,15.566,
2011-07,16.130,
2011-10,16.296,
2012-01,16.075,
2012-04,16.992,
2012-07,14.707,
2012-10,15.916,
2013-01,13.161,
2013-04,12.732,
2013-07,12.805,
2013-10,16.313,
2014-01,16.808,
2014-04,15.892,
2014-07,15.140,
