"",BBFB1.Q.N.DE.W1.S12T.S1.T.A.FA.O.F2.T._T.N.N,BBFB1.Q.N.DE.W1.S12T.S1.T.A.FA.O.F2.T._T.N.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Currency and deposits / Monetary financial institutions / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:58:37,
1991-01,-6893.630,
1991-04,-16255.798,
1991-07,-3750.503,
1991-10,16154.841,
1992-01,-10427.090,
1992-04,-10497.748,
1992-07,4248.664,
1992-10,6328.244,
1993-01,8024.679,
1993-04,14983.222,
1993-07,-6456.790,
1993-10,34810.407,
1994-01,-27111.507,
1994-04,-11758.586,
1994-07,-1885.637,
1994-10,20928.805,
1995-01,-1904.089,
1995-04,11930.403,
1995-07,8632.665,
1995-10,6141.463,
1996-01,-10291.366,
1996-04,399.775,
1996-07,3776.974,
1996-10,19951.186,
1997-01,-3109.946,
1997-04,9012.065,
1997-07,-5117.723,
1997-10,25741.922,
1998-01,-10746.377,
1998-04,9779.542,
1998-07,-6395.431,
1998-10,47370.625,
1999-01,12323.491,
1999-04,-12828.331,
1999-07,2066.632,
1999-10,-8188.090,
2000-01,5479.808,
2000-04,13313.606,
2000-07,11292.230,
2000-10,13643.481,
2001-01,37590.205,
2001-04,-756.215,
2001-07,18920.897,
2001-10,-4303.481,
2002-01,-22918.920,
2002-04,47952.067,
2002-07,38717.192,
2002-10,35928.715,
2003-01,40704.402,
2003-04,54607.422,
2003-07,-32420.908,
2003-10,2978.714,
2004-01,18276.813,
2004-04,28057.678,
2004-07,11380.034,
2004-10,37204.323,
2005-01,44786.938,
2005-04,27598.971,
2005-07,-4033.659,
2005-10,-43637.096,
2006-01,83684.790,
2006-04,25251.911,
2006-07,-23350.190,
2006-10,23520.504,
2007-01,9114.832,
2007-04,49183.555,
2007-07,33491.542,
2007-10,-19207.745,
2008-01,17650.993,
2008-04,-18916.140,
2008-07,6822.078,
2008-10,-47885.036,
2009-01,-87707.528,
2009-04,-27936.049,
2009-07,-39096.567,
2009-10,32702.980,
2010-01,-11877.482,
2010-04,24813.581,
2010-07,-104.414,
2010-10,-62431.648,
2011-01,-31171.770,
2011-04,10146.037,
2011-07,13545.127,
2011-10,-43316.624,
2012-01,15123.532,
2012-04,-26310.762,
2012-07,20571.268,
2012-10,-36460.066,
2013-01,-5396.503,
2013-04,11564.241,
2013-07,-35659.798,
2013-10,2835.437,
2014-01,21915.691,
2014-04,37893.552,
2014-07,5171.363,
