"",BBK01.OEAL09N,BBK01.OEAL09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:48,
2002-01,22.771,
2002-04,21.889,
2002-07,22.216,
2002-10,22.030,
2003-01,21.435,
2003-04,20.598,
2003-07,19.688,
2003-10,19.825,
2004-01,19.745,
2004-04,19.546,
2004-07,19.402,
2004-10,19.097,
2005-01,18.851,
2005-04,18.270,
2005-07,17.767,
2005-10,18.029,
2006-01,19.077,
2006-04,20.038,
2006-07,21.199,
2006-10,22.488,
2007-01,23.763,
2007-04,23.900,
2007-07,24.490,
2007-10,25.165,
2008-01,24.959,
2008-04,24.540,
2008-07,24.050,
2008-10,27.034,
2009-01,27.060,
2009-04,27.556,
2009-07,28.203,
2009-10,27.533,
2010-01,26.334,
2010-04,25.386,
2010-07,23.982,
2010-10,23.443,
2011-01,23.224,
2011-04,23.204,
2011-07,23.478,
2011-10,22.322,
2012-01,22.389,
2012-04,22.050,
2012-07,21.343,
2012-10,20.335,
2013-01,19.159,
2013-04,18.100,
2013-07,17.283,
2013-10,16.711,
2014-01,16.515,
2014-04,16.317,
2014-07,17.112,
