"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.GR.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.GR.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Greece,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:43,
2009-09,304,
2009-10,311,
2009-11,257,
2009-12,220,
2010-01,200,
2010-02,173,
2010-03,179,
2010-04,110,
2010-05,86,
2010-06,76,
2010-07,81,
2010-08,75,
2010-09,73,
2010-10,80,
2010-11,73,
2010-12,73,
2011-01,83,
2011-02,88,
2011-03,100,
2011-04,96,
2011-05,77,
2011-06,72,
2011-07,69,
2011-08,50,
2011-09,36,
2011-10,38,
2011-11,33,
2011-12,31,
2012-01,38,
2012-02,33,
2012-03,31,
2012-04,28,
2012-05,14,
2012-06,18,
2012-07,11,
2012-08,12,
2012-09,13,
2012-10,17,
2012-11,15,
2012-12,16,
2013-01,19,
2013-02,20,
2013-03,19,
2013-04,20,
2013-05,20,
2013-06,14,
2013-07,15,
2013-08,14,
2013-09,15,
2013-10,17,
2013-11,17,
2013-12,18,
2014-01,25,
2014-02,32,
2014-03,31,
2014-04,31,
2014-05,46,
2014-06,55,
2014-07,54,
2014-08,71,
2014-09,75,
2014-10,66,
2014-11,66,
