"",BBSF2.M.1.P.00000.REN01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.REN01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Public funds / Bonds funds / Long-term debt securities,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:31,
2009-09,49966,
2009-10,49929,
2009-11,51002,
2009-12,50993,
2010-01,51284,
2010-02,51635,
2010-03,52667,
2010-04,52555,
2010-05,53546,
2010-06,53852,
2010-07,54279,
2010-08,55153,
2010-09,55187,
2010-10,53979,
2010-11,52126,
2010-12,51920,
2011-01,51471,
2011-02,51127,
2011-03,49967,
2011-04,49308,
2011-05,49511,
2011-06,49201,
2011-07,50450,
2011-08,50280,
2011-09,50083,
2011-10,49476,
2011-11,48157,
2011-12,48707,
2012-01,49917,
2012-02,50669,
2012-03,50308,
2012-04,50408,
2012-05,51251,
2012-06,51012,
2012-07,52422,
2012-08,52745,
2012-09,52959,
2012-10,53017,
2012-11,53587,
2012-12,53903,
2013-01,53523,
2013-02,54690,
2013-03,55027,
2013-04,55523,
2013-05,55026,
2013-06,52760,
2013-07,53683,
2013-08,53101,
2013-09,53432,
2013-10,53190,
2013-11,52593,
2013-12,52343,
2014-01,52843,
2014-02,53676,
2014-03,53528,
2014-04,54127,
2014-05,54540,
2014-06,54743,
2014-07,54850,
2014-08,55915,
2014-09,56499,
2014-10,57361,
2014-11,58767,
