"",BBK01.OEYI08K,BBK01.OEYI08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:22,
2002-01,0.139,
2002-04,0.128,
2002-07,0.123,
2002-10,0.128,
2003-01,0.131,
2003-04,0.132,
2003-07,0.051,
2003-10,0.014,
2004-01,0.013,
2004-04,0.162,
2004-07,0.152,
2004-10,0.147,
2005-01,0.114,
2005-04,0.102,
2005-07,0.099,
2005-10,0.095,
2006-01,0.106,
2006-04,0.104,
2006-07,0.100,
2006-10,0.101,
2007-01,0.100,
2007-04,0.096,
2007-07,0.093,
2007-10,0.093,
2008-01,0.093,
2008-04,0.092,
2008-07,0.088,
2008-10,0.094,
2009-01,0.089,
2009-04,0.084,
2009-07,0.092,
2009-10,0.093,
2010-01,0.090,
2010-04,0.084,
2010-07,0.084,
2010-10,0.084,
2011-01,0.084,
2011-04,0.081,
2011-07,0.081,
2011-10,0.079,
2012-01,0.078,
2012-04,0.078,
2012-07,0.077,
2012-10,0.078,
2013-01,0.081,
2013-04,0.081,
2013-07,0.073,
2013-10,0.061,
2014-01,0.056,
2014-04,0.055,
2014-07,0.055,
