"",BBK01.OECB19O,BBK01.OECB19O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:05,
2002-01,0.108,
2002-04,0.106,
2002-07,0.102,
2002-10,0.093,
2003-01,0.084,
2003-04,0.086,
2003-07,0.085,
2003-10,0.086,
2004-01,0.083,
2004-04,0.085,
2004-07,0.088,
2004-10,0.083,
2005-01,0.101,
2005-04,0.105,
2005-07,0.101,
2005-10,0.117,
2006-01,0.116,
2006-04,0.115,
2006-07,0.126,
2006-10,0.105,
2007-01,0.103,
2007-04,0.099,
2007-07,0.084,
2007-10,0.078,
2008-01,0.073,
2008-04,0.071,
2008-07,0.070,
2008-10,0.066,
2009-01,0.063,
2009-04,0.064,
2009-07,0.064,
2009-10,0.061,
2010-01,0.065,
2010-04,0.074,
2010-07,0.086,
2010-10,0.086,
2011-01,0.088,
2011-04,0.088,
2011-07,0.096,
2011-10,0.099,
2012-01,0.106,
2012-04,0.104,
2012-07,0.104,
2012-10,0.102,
2013-01,0.103,
2013-04,0.097,
2013-07,0.092,
2013-10,0.086,
2014-01,0.081,
2014-04,0.077,
2014-07,0.098,
