"",BBK01.OELB02P,BBK01.OELB02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:43,
2002-01,1.045,
2002-04,1.057,
2002-07,1.046,
2002-10,0.983,
2003-01,0.943,
2003-04,0.940,
2003-07,0.902,
2003-10,0.895,
2004-01,0.870,
2004-04,0.864,
2004-07,0.856,
2004-10,0.819,
2005-01,0.789,
2005-04,0.775,
2005-07,0.777,
2005-10,0.751,
2006-01,0.739,
2006-04,0.787,
2006-07,0.737,
2006-10,0.745,
2007-01,0.731,
2007-04,0.727,
2007-07,0.712,
2007-10,0.691,
2008-01,0.658,
2008-04,0.683,
2008-07,0.708,
2008-10,0.686,
2009-01,0.700,
2009-04,0.684,
2009-07,0.663,
2009-10,0.633,
2010-01,0.643,
2010-04,0.646,
2010-07,0.638,
2010-10,0.622,
2011-01,0.587,
2011-04,0.611,
2011-07,0.600,
2011-10,0.554,
2012-01,0.582,
2012-04,0.609,
2012-07,0.594,
2012-10,0.592,
2013-01,0.600,
2013-04,0.587,
2013-07,0.562,
2013-10,0.559,
2014-01,0.554,
2014-04,0.530,
2014-07,0.518,
