"",BBK01.OEAB02J,BBK01.OEAB02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:47,
2002-01,4.150,
2002-04,4.395,
2002-07,4.467,
2002-10,4.165,
2003-01,3.949,
2003-04,3.831,
2003-07,3.922,
2003-10,3.823,
2004-01,3.480,
2004-04,3.626,
2004-07,3.407,
2004-10,3.833,
2005-01,3.544,
2005-04,3.313,
2005-07,3.323,
2005-10,3.224,
2006-01,3.253,
2006-04,3.278,
2006-07,3.187,
2006-10,3.314,
2007-01,3.367,
2007-04,3.339,
2007-07,3.358,
2007-10,3.508,
2008-01,3.479,
2008-04,3.645,
2008-07,3.725,
2008-10,3.525,
2009-01,3.977,
2009-04,3.582,
2009-07,3.652,
2009-10,3.456,
2010-01,3.525,
2010-04,3.682,
2010-07,3.642,
2010-10,3.778,
2011-01,3.876,
2011-04,4.036,
2011-07,3.972,
2011-10,4.009,
2012-01,4.415,
2012-04,4.587,
2012-07,4.815,
2012-10,4.680,
2013-01,4.834,
2013-04,4.462,
2013-07,4.568,
2013-10,4.593,
2014-01,4.625,
2014-04,4.488,
2014-07,4.598,
