"",BBK01.OEHO02K,BBK01.OEHO02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:38,
2002-01,0.978,
2002-04,0.738,
2002-07,0.653,
2002-10,0.991,
2003-01,0.805,
2003-04,0.717,
2003-07,0.610,
2003-10,0.757,
2004-01,0.810,
2004-04,0.630,
2004-07,0.646,
2004-10,0.755,
2005-01,0.710,
2005-04,0.742,
2005-07,0.638,
2005-10,0.682,
2006-01,0.920,
2006-04,0.702,
2006-07,0.668,
2006-10,0.799,
2007-01,1.070,
2007-04,0.730,
2007-07,0.723,
2007-10,0.847,
2008-01,0.894,
2008-04,0.704,
2008-07,0.719,
2008-10,1.331,
2009-01,0.802,
2009-04,0.682,
2009-07,0.582,
2009-10,0.614,
2010-01,0.562,
2010-04,0.474,
2010-07,0.428,
2010-10,0.443,
2011-01,0.548,
2011-04,0.801,
2011-07,0.477,
2011-10,0.419,
2012-01,0.492,
2012-04,0.472,
2012-07,0.559,
2012-10,0.582,
2013-01,0.752,
2013-04,0.625,
2013-07,0.657,
2013-10,0.703,
2014-01,1.018,
2014-04,1.017,
2014-07,0.679,
