"",BBK01.OEAD09R,BBK01.OEAD09R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:33,
2002-01,0.017,
2002-04,0.017,
2002-07,0.013,
2002-10,0.010,
2003-01,0.015,
2003-04,0.015,
2003-07,0.019,
2003-10,0.022,
2004-01,0.016,
2004-04,0.024,
2004-07,0.030,
2004-10,0.029,
2005-01,0.015,
2005-04,0.016,
2005-07,0.020,
2005-10,0.026,
2006-01,0.013,
2006-04,0.014,
2006-07,0.015,
2006-10,0.016,
2007-01,0.012,
2007-04,0.015,
2007-07,0.014,
2007-10,0.015,
2008-01,0.008,
2008-04,0.009,
2008-07,0.010,
2008-10,0.013,
2009-01,0.015,
2009-04,0.010,
2009-07,0.008,
2009-10,0.008,
2010-01,0.006,
2010-04,0.005,
2010-07,0.008,
2010-10,0.008,
2011-01,0.005,
2011-04,0.012,
2011-07,0.014,
2011-10,0.014,
2012-01,0.012,
2012-04,0.008,
2012-07,0.009,
2012-10,0.014,
2013-01,0.012,
2013-04,0.012,
2013-07,0.013,
2013-10,0.014,
2014-01,0.008,
2014-04,0.010,
2014-07,0.014,
