"",BBSF2.M.1.T.00000.DRE01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.T.00000.DRE01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Funds total / Funds-of-funds: Bonds funds / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:34,
2009-09,8,
2009-10,8,
2009-11,8,
2009-12,9,
2010-01,9,
2010-02,9,
2010-03,9,
2010-04,10,
2010-05,10,
2010-06,10,
2010-07,12,
2010-08,12,
2010-09,13,
2010-10,14,
2010-11,14,
2010-12,15,
2011-01,15,
2011-02,16,
2011-03,17,
2011-04,17,
2011-05,16,
2011-06,16,
2011-07,16,
2011-08,15,
2011-09,15,
2011-10,17,
2011-11,17,
2011-12,18,
2012-01,19,
2012-02,20,
2012-03,20,
2012-04,20,
2012-05,19,
2012-06,21,
2012-07,22,
2012-08,23,
2012-09,22,
2012-10,22,
2012-11,25,
2012-12,26,
2013-01,27,
2013-02,27,
2013-03,30,
2013-04,32,
2013-05,32,
2013-06,25,
2013-07,32,
2013-08,34,
2013-09,34,
2013-10,30,
2013-11,36,
2013-12,38,
2014-01,38,
2014-02,34,
2014-03,33,
2014-04,29,
2014-05,27,
2014-06,26,
2014-07,26,
2014-08,27,
2014-09,27,
2014-10,28,
2014-11,29,
