"",BBSF2.M.1.S.00000.GEF01.T.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEF01.T.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Sales receipts / Not defined / Cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:53,
2009-09,13,
2009-10,10,
2009-11,36,
2009-12,49,
2010-01,215,
2010-02,11,
2010-03,50,
2010-04,20,
2010-05,34,
2010-06,24,
2010-07,18,
2010-08,14,
2010-09,10,
2010-10,9,
2010-11,115,
2010-12,29,
2011-01,227,
2011-02,22,
2011-03,30,
2011-04,10,
2011-05,35,
2011-06,18,
2011-07,25,
2011-08,13,
2011-09,15,
2011-10,12,
2011-11,23,
2011-12,255,
2012-01,132,
2012-02,10,
2012-03,65,
2012-04,2,
2012-05,10,
2012-06,51,
2012-07,31,
2012-08,63,
2012-09,35,
2012-10,12,
2012-11,24,
2012-12,52,
2013-01,24,
2013-02,31,
2013-03,44,
2013-04,16,
2013-05,156,
2013-06,1,
2013-07,506,
2013-08,65,
2013-09,31,
2013-10,16,
2013-11,18,
2013-12,53,
2014-01,76,
2014-02,6,
2014-03,16,
2014-04,109,
2014-05,305,
2014-06,9,
2014-07,70,
2014-08,4,
2014-09,790,
2014-10,399,
2014-11,1,
