"",BBK01.OEBB10I,BBK01.OEBB10I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:51,
2002-01,8.737,
2002-04,7.321,
2002-07,7.230,
2002-10,6.937,
2003-01,6.410,
2003-04,6.463,
2003-07,5.942,
2003-10,5.402,
2004-01,5.082,
2004-04,5.301,
2004-07,5.386,
2004-10,4.837,
2005-01,4.770,
2005-04,4.664,
2005-07,4.676,
2005-10,4.327,
2006-01,4.355,
2006-04,4.267,
2006-07,2.731,
2006-10,2.749,
2007-01,2.519,
2007-04,2.627,
2007-07,2.433,
2007-10,2.670,
2008-01,2.288,
2008-04,2.494,
2008-07,2.784,
2008-10,2.454,
2009-01,2.481,
2009-04,2.524,
2009-07,2.468,
2009-10,2.327,
2010-01,2.204,
2010-04,2.432,
2010-07,2.214,
2010-10,2.231,
2011-01,2.259,
2011-04,2.078,
2011-07,2.092,
2011-10,2.158,
2012-01,2.299,
2012-04,2.185,
2012-07,2.336,
2012-10,2.145,
2013-01,2.174,
2013-04,2.307,
2013-07,2.274,
2013-10,2.472,
2014-01,2.085,
2014-04,2.303,
2014-07,2.096,
