"",BBK01.OEAE35H,BBK01.OEAE35H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:16,
2002-01,1.913,
2002-04,1.826,
2002-07,1.813,
2002-10,2.017,
2003-01,2.043,
2003-04,2.186,
2003-07,2.135,
2003-10,2.139,
2004-01,2.099,
2004-04,1.896,
2004-07,1.866,
2004-10,1.902,
2005-01,1.999,
2005-04,2.060,
2005-07,2.100,
2005-10,2.146,
2006-01,2.150,
2006-04,2.185,
2006-07,2.208,
2006-10,2.161,
2007-01,2.038,
2007-04,2.012,
2007-07,1.952,
2007-10,1.656,
2008-01,1.630,
2008-04,1.764,
2008-07,1.566,
2008-10,1.627,
2009-01,1.609,
2009-04,1.552,
2009-07,1.510,
2009-10,1.386,
2010-01,1.197,
2010-04,1.147,
2010-07,0.985,
2010-10,0.904,
2011-01,0.828,
2011-04,0.830,
2011-07,0.783,
2011-10,0.764,
2012-01,0.738,
2012-04,0.733,
2012-07,0.708,
2012-10,0.703,
2013-01,0.692,
2013-04,0.651,
2013-07,0.638,
2013-10,0.653,
2014-01,0.662,
2014-04,0.663,
2014-07,0.667,
