"",BBK01.OXA8T1,BBK01.OXA8T1_FLAGS
"",Net total of loans (including bills of exchange) sold to/ bought from domestic self-employed persons (including sole proprietors) during the reporting period - of which: off-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:49,
2009-12,-,Nothing exists
2010-01,-0.023,
2010-02,-,Nothing exists
2010-03,-0.056,
2010-04,-,Nothing exists
2010-05,-0.045,
2010-06,-0.039,
2010-07,-0.030,
2010-08,-0.127,
2010-09,-0.053,
2010-10,0.033,
2010-11,-0.088,
2010-12,-0.044,
2011-01,-0.084,
2011-02,0.108,
2011-03,-0.071,
2011-04,-0.027,
2011-05,-0.080,
2011-06,0.093,
2011-07,0.103,
2011-08,-0.086,
2011-09,-0.078,
2011-10,-0.055,
2011-11,-0.067,
2011-12,-0.059,
2012-01,-0.088,
2012-02,-0.022,
2012-03,-0.068,
2012-04,-0.078,
2012-05,-0.062,
2012-06,-0.081,
2012-07,-0.074,
2012-08,-0.065,
2012-09,-0.033,
2012-10,-0.055,
2012-11,-0.098,
2012-12,-0.083,
2013-01,-0.119,
2013-02,0.132,
2013-03,-0.108,
2013-04,-0.119,
2013-05,-0.101,
2013-06,-0.035,
2013-07,0.019,
2013-08,-0.079,
2013-09,-0.117,
2013-10,-0.113,
2013-11,-0.095,
2013-12,-0.096,
2014-01,-0.115,
2014-02,-0.039,
2014-03,-0.075,
2014-04,-0.070,
2014-05,0.199,
2014-06,-0.091,
2014-07,-0.071,
2014-08,-0.034,
2014-09,-0.072,
2014-10,-0.061,
2014-11,0.108,
2014-12,-0.085,Provisional value
