"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.BE.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.BE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Belgium,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:53,
2009-09,9281,
2009-10,9359,
2009-11,9434,
2009-12,9648,
2010-01,10062,
2010-02,10086,
2010-03,10195,
2010-04,10461,
2010-05,10717,
2010-06,10814,
2010-07,11183,
2010-08,11823,
2010-09,11721,
2010-10,12469,
2010-11,12052,
2010-12,11490,
2011-01,11138,
2011-02,11253,
2011-03,11189,
2011-04,11169,
2011-05,11242,
2011-06,11093,
2011-07,10915,
2011-08,11099,
2011-09,11125,
2011-10,10688,
2011-11,10221,
2011-12,11011,
2012-01,10819,
2012-02,11639,
2012-03,12019,
2012-04,12353,
2012-05,12919,
2012-06,12928,
2012-07,13559,
2012-08,13414,
2012-09,13699,
2012-10,13946,
2012-11,14623,
2012-12,15368,
2013-01,15191,
2013-02,15406,
2013-03,15272,
2013-04,15445,
2013-05,15620,
2013-06,15092,
2013-07,15496,
2013-08,15504,
2013-09,16012,
2013-10,16405,
2013-11,16369,
2013-12,16358,
2014-01,16859,
2014-02,17111,
2014-03,17887,
2014-04,17899,
2014-05,18561,
2014-06,18716,
2014-07,18949,
2014-08,19322,
2014-09,19083,
2014-10,19034,
2014-11,19595,
