"",BBK01.OEHM03P,BBK01.OEHM03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:40,
2002-01,0.138,
2002-04,0.095,
2002-07,0.045,
2002-10,0.077,
2003-01,0.076,
2003-04,0.079,
2003-07,0.075,
2003-10,0.067,
2004-01,0.073,
2004-04,0.072,
2004-07,0.070,
2004-10,0.068,
2005-01,0.091,
2005-04,0.117,
2005-07,0.112,
2005-10,0.126,
2006-01,0.084,
2006-04,0.050,
2006-07,0.105,
2006-10,0.147,
2007-01,0.064,
2007-04,0.061,
2007-07,0.109,
2007-10,0.108,
2008-01,0.068,
2008-04,0.059,
2008-07,0.073,
2008-10,0.080,
2009-01,0.038,
2009-04,0.048,
2009-07,0.039,
2009-10,0.118,
2010-01,0.049,
2010-04,0.029,
2010-07,0.036,
2010-10,0.086,
2011-01,0.033,
2011-04,0.023,
2011-07,0.033,
2011-10,0.134,
2012-01,0.096,
2012-04,0.089,
2012-07,0.111,
2012-10,0.278,
2013-01,0.511,
2013-04,0.160,
2013-07,0.194,
2013-10,0.397,
2014-01,0.121,
2014-04,0.101,
2014-07,0.208,
