"",BBEX3.M.CHF.EUR.CA.AA.A01,BBEX3.M.CHF.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Switzerland / EUR 1 = CHF ... (buying),
unit,CHF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:41,
1999-01,1.5945,
1999-02,1.5720,
1999-03,1.5795,
1999-04,1.5948,
1999-05,1.5770,
1999-06,1.5855,
1999-07,1.5800,
1999-08,1.5840,
1999-09,1.5835,
1999-10,1.5872,
1999-11,1.5868,
1999-12,1.5888,
2000-01,1.5935,
2000-02,1.5895,
2000-03,1.5750,
2000-04,1.5561,
2000-05,1.5549,
2000-06,1.5406,
2000-07,1.5290,
2000-08,1.5280,
2000-09,1.5040,
2000-10,1.5022,
2000-11,1.4938,
2000-12,1.5051,
2001-01,1.5070,
2001-02,1.5210,
2001-03,1.5055,
2001-04,1.5195,
2001-05,1.5056,
2001-06,1.5027,
2001-07,1.4935,
2001-08,1.4970,
2001-09,1.4590,
2001-10,1.4523,
2001-11,1.4514,
2001-12,1.4629,
2002-01,1.4540,
2002-02,1.4580,
2002-03,1.4475,
2002-04,1.4461,
2002-05,1.4450,
2002-06,1.4544,
2002-07,1.4335,
2002-08,1.4520,
2002-09,1.4470,
2002-10,1.4459,
2002-11,1.4570,
2002-12,1.4360,
2003-01,1.4490,
2003-02,1.4440,
2003-03,1.4575,
2003-04,1.4992,
2003-05,1.5101,
2003-06,1.5278,
2003-07,1.5200,
2003-08,1.5190,
2003-09,1.5195,
2003-10,1.5314,
2003-11,1.5296,
2003-12,1.5400,
2004-01,1.5430,
2004-02,1.5565,
2004-03,1.5395,
2004-04,1.5270,
2004-05,1.5101,
2004-06,1.5111,
2004-07,1.5220,
2004-08,1.5215,
2004-09,1.5335,
2004-10,1.5105,
2004-11,1.4970,
2004-12,1.5240,
2005-01,1.5299,
2005-02,1.5198,
2005-03,1.5296,
2005-04,1.5187,
2005-05,1.5246,
2005-06,1.5289,
2005-07,1.5407,
2005-08,1.5304,
2005-09,1.5372,
2005-10,1.5260,
2005-11,1.5282,
2005-12,1.5375,
2006-01,1.5354,
2006-02,1.5471,
2006-03,1.5581,
2006-04,1.5593,
2006-05,1.5394,
2006-06,1.5471,
2006-07,1.5530,
2006-08,1.5558,
2006-09,1.5654,
2006-10,1.5688,
2006-11,1.5717,
2006-12,1.5871,
2007-01,1.6051,
2007-02,1.5932,
2007-03,1.6035,
2007-04,1.6277,
2007-05,1.6248,
2007-06,1.6357,
2007-07,1.6157,
2007-08,1.6239,
2007-09,1.6384,
2007-10,1.6519,
2007-11,1.6305,
2007-12,1.6349,
2008-01,1.5889,
2008-02,1.5771,
2008-03,1.5537,
2008-04,1.5979,
2008-05,1.6069,
2008-06,1.5861,
2008-07,1.6120,
2008-08,1.5945,
2008-09,1.5532,
2008-10,1.4393,
2008-11,1.5303,
2008-12,1.4684,
2009-01,1.4694,
2009-02,1.4653,
2009-03,1.4982,
2009-04,1.4923,
2009-05,1.4927,
2009-06,1.5066,
2009-07,1.5137,
2009-08,1.4966,
2009-09,1.5000,
2009-10,1.4990,
2009-11,1.4945,
2009-12,1.4735,
2010-01,1.4678,
2010-02,1.4633,
2010-03,1.4308,
2010-04,1.4337,
2010-05,1.4231,
2010-06,1.3225,
2010-07,1.3531,
2010-08,1.2936,
2010-09,1.3302,
2010-10,1.3687,
2010-11,1.2996,
2010-12,1.2507,
2011-01,1.2852,
2011-02,1.2806,
2011-03,1.2987,
2011-04,1.2899,
2011-05,1.2260,
2011-06,1.2080,
2011-07,1.1454,
2011-08,1.1722,
2011-09,1.2193,
2011-10,1.2196,
2011-11,1.2260,
2011-12,1.2158,
2012-01,1.2057,
2012-02,1.2053,
2012-03,1.2048,
2012-04,1.2013,
2012-05,1.2011,
2012-06,1.2013,
2012-07,1.2011,
2012-08,1.2009,
2012-09,1.2098,
2012-10,1.2077,
2012-11,1.2044,
2012-12,1.2072,
2013-01,1.2354,
2013-02,1.2200,
2013-03,1.2185,
2013-04,1.2252,
2013-05,1.2414,
2013-06,1.2348,
2013-07,1.2309,
2013-08,1.2316,
2013-09,1.2223,
2013-10,1.2331,
2013-11,1.2323,
2013-12,1.2264,
2014-01,1.2231,
2014-02,1.2160,
2014-03,1.2199,
2014-04,1.2195,
2014-05,1.2210,
2014-06,1.2151,
2014-07,1.2165,
2014-08,1.2061,
2014-09,1.2065,
2014-10,1.2059,
2014-11,1.2018,
2014-12,1.2025,
2015-01,1.0442,
2015-02,1.0668,
"","Source: Since 2010 Swiss National Bank, Zurich 1999 - 2009 Neue Zürcher Zeitung",
