"",BBFN1.M.DE.N.1.L.AR.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AR.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Argentina,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:01,
1994-12,0.718,
1995-01,0.729,
1995-02,0.738,
1995-03,0.727,
1995-04,0.729,
1995-05,0.732,
1995-06,0.728,
1995-07,0.741,
1995-08,0.751,
1995-09,0.756,
1995-10,0.789,
1995-11,0.832,
1995-12,0.791,
1996-01,0.824,
1996-02,0.832,
1996-03,0.825,
1996-04,0.844,
1996-05,0.848,
1996-06,0.845,
1996-07,0.864,
1996-08,0.784,
1996-09,0.808,
1996-10,0.794,
1996-11,0.786,
1996-12,0.864,
1997-01,0.878,
1997-02,0.893,
1997-03,0.765,
1997-04,0.753,
1997-05,0.764,
1997-06,0.782,
1997-07,0.801,
1997-08,0.783,
1997-09,0.787,
1997-10,0.772,
1997-11,0.776,
1997-12,0.863,
1998-01,0.806,
1998-02,0.820,
1998-03,0.834,
1998-04,0.860,
1998-05,0.867,
1998-06,0.342,
1998-07,0.404,
1998-08,0.358,
1998-09,0.316,
1998-10,0.333,
1998-11,0.332,
1998-12,0.335,
1999-01,0.360,
1999-02,0.330,
1999-03,0.287,
1999-04,0.307,
1999-05,0.289,
1999-06,0.363,
1999-07,0.315,
1999-08,0.310,
1999-09,0.266,
1999-10,0.260,
1999-11,0.306,
1999-12,0.286,
2000-01,0.305,
2000-02,0.269,
2000-03,0.271,
2000-04,0.304,
2000-05,0.420,
2000-06,0.414,
2000-07,0.419,
2000-08,0.416,
2000-09,0.521,
2000-10,0.680,
2000-11,0.934,
2000-12,0.555,
2001-01,0.638,
2001-02,0.570,
2001-03,0.579,
2001-04,0.603,
2001-05,0.432,
2001-06,0.494,
2001-07,0.417,
2001-08,0.439,
2001-09,0.451,
2001-10,0.361,
2001-11,0.371,
2001-12,0.353,
2002-01,0.362,
2002-02,0.384,
2002-03,0.329,
2002-04,0.338,
2002-05,0.357,
2002-06,0.307,
2002-07,0.306,
2002-08,0.309,
2002-09,0.339,
2002-10,0.338,
2002-11,0.316,
2002-12,0.294,
2003-01,0.284,
2003-02,0.293,
2003-03,0.285,
2003-04,0.293,
2003-05,0.303,
2003-06,0.266,
2003-07,0.299,
2003-08,0.296,
2003-09,0.308,
2003-10,0.302,
2003-11,0.314,
2003-12,0.314,
2004-01,0.287,
2004-02,0.307,
2004-03,0.341,
2004-04,0.350,
2004-05,0.331,
2004-06,0.294,
2004-07,0.325,
2004-08,0.354,
2004-09,0.320,
2004-10,0.342,
2004-11,0.341,
2004-12,0.348,
2005-01,0.288,
2005-02,0.295,
2005-03,0.303,
2005-04,0.294,
2005-05,0.336,
2005-06,0.309,
2005-07,0.334,
2005-08,0.325,
2005-09,0.353,
2005-10,0.362,
2005-11,0.310,
2005-12,0.354,
2006-01,0.366,
2006-02,0.374,
2006-03,0.377,
2006-04,0.406,
2006-05,0.426,
2006-06,0.466,
2006-07,0.477,
2006-08,0.532,
2006-09,0.527,
2006-10,0.510,
2006-11,0.509,
2006-12,0.458,
2007-01,0.541,
2007-02,0.539,
2007-03,0.519,
2007-04,0.596,
2007-05,0.576,
2007-06,0.555,
2007-07,0.590,
2007-08,0.637,
2007-09,0.616,
2007-10,0.620,
2007-11,0.589,
2007-12,0.561,
2008-01,0.444,
2008-02,0.422,
2008-03,0.420,
2008-04,0.446,
2008-05,0.458,
2008-06,0.399,
2008-07,0.393,
2008-08,0.406,
2008-09,0.397,
2008-10,0.421,
2008-11,0.375,
2008-12,0.424,
2009-01,0.364,
2009-02,0.368,
2009-03,0.379,
2009-04,0.368,
2009-05,0.435,
2009-06,0.377,
2009-07,0.367,
2009-08,0.395,
2009-09,0.383,
2009-10,0.389,
2009-11,0.381,
2009-12,0.387,
2010-01,0.382,
2010-02,0.336,
2010-03,0.362,
2010-04,0.377,
2010-05,0.422,
2010-06,0.371,
2010-07,0.334,
2010-08,0.342,
2010-09,0.382,
2010-10,0.367,
2010-11,0.335,
2010-12,0.300,
2011-01,0.287,
2011-02,0.304,
2011-03,0.327,
2011-04,0.350,
2011-05,0.352,
2011-06,0.386,
2011-07,0.355,
2011-08,0.355,
2011-09,0.442,
2011-10,0.380,
2011-11,0.353,
2011-12,0.396,
2012-01,0.349,
2012-02,0.300,
2012-03,0.361,
2012-04,0.352,
2012-05,0.358,
2012-06,0.367,
2012-07,0.293,
2012-08,0.284,
2012-09,0.330,
2012-10,0.288,
2012-11,0.289,
2012-12,0.317,
2013-01,0.288,
2013-02,0.299,
2013-03,0.301,
2013-04,0.304,
2013-05,0.306,
2013-06,0.321,
2013-07,0.364,
2013-08,0.367,
2013-09,0.351,
2013-10,0.327,
2013-11,0.336,
2013-12,0.440,
2014-01,0.340,
2014-02,0.342,
2014-03,0.360,
2014-04,0.334,
2014-05,0.349,
2014-06,0.383,
2014-07,0.365,
2014-08,0.428,
2014-09,0.399,
2014-10,0.392,
2014-11,0.336,
2014-12,0.374,
