"",BBK01.OEXO04G,BBK01.OEXO04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:36,
2002-01,0.301,
2002-04,0.021,
2002-07,0.090,
2002-10,0.232,
2003-01,0.395,
2003-04,-0.190,
2003-07,0.045,
2003-10,-0.001,
2004-01,0.272,
2004-04,0.142,
2004-07,-0.056,
2004-10,0.086,
2005-01,0.163,
2005-04,0.082,
2005-07,-0.099,
2005-10,0.012,
2006-01,-0.082,
2006-04,0.030,
2006-07,0.024,
2006-10,0.053,
2007-01,0.323,
2007-04,0.152,
2007-07,0.161,
2007-10,0.299,
2008-01,0.102,
2008-04,0.041,
2008-07,0.040,
2008-10,0.711,
2009-01,-0.153,
2009-04,-0.091,
2009-07,0.030,
2009-10,-0.437,
2010-01,-0.349,
2010-04,-0.185,
2010-07,-0.103,
2010-10,0.364,
2011-01,0.209,
2011-04,-0.069,
2011-07,-0.050,
2011-10,-0.127,
2012-01,-0.170,
2012-04,0.086,
2012-07,-0.122,
2012-10,-0.228,
2013-01,-0.374,
2013-04,-0.301,
2013-07,-0.065,
2013-10,-0.053,
2014-01,0.109,
2014-04,-0.084,
2014-07,-0.019,
