"",BBFB1.Q.N.DE.CZ.S1.S1.T.C.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.C.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Receipts / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:42,
1999-01,35.906,
1999-04,38.150,
1999-07,40.906,
1999-10,45.238,
2000-01,43.237,
2000-04,48.638,
2000-07,52.896,
2000-10,58.746,
2001-01,54.735,
2001-04,58.702,
2001-07,58.739,
2001-10,62.300,
2002-01,46.285,
2002-04,53.710,
2002-07,50.844,
2002-10,55.158,
2003-01,45.440,
2003-04,51.529,
2003-07,55.805,
2003-10,58.962,
2004-01,51.618,
2004-04,60.863,
2004-07,60.991,
2004-10,63.130,
2005-01,57.940,
2005-04,61.539,
2005-07,66.438,
2005-10,70.409,
2006-01,62.823,
2006-04,80.801,
2006-07,72.729,
2006-10,75.675,
2007-01,69.032,
2007-04,86.441,
2007-07,91.274,
2007-10,83.884,
2008-01,74.901,
2008-04,89.643,
2008-07,95.846,
2008-10,105.466,
2009-01,81.012,
2009-04,79.430,
2009-07,89.684,
2009-10,99.258,
2010-01,84.167,
2010-04,105.693,
2010-07,109.966,
2010-10,117.200,
2011-01,89.029,
2011-04,108.052,
2011-07,128.896,
2011-10,122.086,
2012-01,108.427,
2012-04,128.453,
2012-07,150.716,
2012-10,137.484,
2013-01,107.707,
2013-04,133.133,
2013-07,151.345,
2013-10,152.907,
2014-01,110.779,Provisional value
2014-04,156.288,Provisional value
2014-07,150.773,Provisional value
2014-10,160.795,Provisional value
