"",BBK01.OEBK03L,BBK01.OEBK03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:04,
2002-01,1.285,
2002-04,1.211,
2002-07,1.289,
2002-10,1.374,
2003-01,1.158,
2003-04,1.050,
2003-07,0.983,
2003-10,0.901,
2004-01,1.016,
2004-04,0.927,
2004-07,0.960,
2004-10,1.260,
2005-01,1.095,
2005-04,1.138,
2005-07,1.247,
2005-10,1.251,
2006-01,1.297,
2006-04,1.437,
2006-07,2.272,
2006-10,2.509,
2007-01,2.660,
2007-04,2.997,
2007-07,3.342,
2007-10,4.107,
2008-01,4.317,
2008-04,4.983,
2008-07,5.479,
2008-10,5.243,
2009-01,4.478,
2009-04,4.114,
2009-07,4.308,
2009-10,3.542,
2010-01,3.073,
2010-04,4.331,
2010-07,5.089,
2010-10,4.102,
2011-01,4.602,
2011-04,4.904,
2011-07,3.394,
2011-10,3.406,
2012-01,3.663,
2012-04,3.809,
2012-07,3.563,
2012-10,3.214,
2013-01,3.091,
2013-04,2.857,
2013-07,2.549,
2013-10,2.460,
2014-01,2.637,
2014-04,2.908,
2014-07,2.902,
