"",BBFN1.M.DE.N.1.L.SE.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SE.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Sweden,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:24,
1982-09,0.195,
1982-10,0.195,
1982-11,0.210,
1982-12,0.320,
1983-01,0.320,
1983-02,0.320,
1983-03,0.311,
1983-04,0.308,
1983-05,0.309,
1983-06,0.299,
1983-07,0.302,
1983-08,0.302,
1983-09,0.297,
1983-10,0.293,
1983-11,0.291,
1983-12,0.288,
1984-01,0.299,
1984-02,0.293,
1984-03,0.288,
1984-04,0.289,
1984-05,0.291,
1984-06,0.290,
1984-07,0.290,
1984-08,0.281,
1984-09,0.285,
1984-10,0.285,
1984-11,0.285,
1984-12,0.285,
1985-01,0.289,
1985-02,0.294,
1985-03,0.295,
1985-04,0.138,
1985-05,0.137,
1985-06,0.138,
1985-07,0.144,
1985-08,0.160,
1985-09,0.163,
1985-10,0.167,
1985-11,0.140,
1985-12,0.131,
1986-01,0.128,
1986-02,0.127,
1986-03,0.132,
1986-04,0.136,
1986-05,0.144,
1986-06,0.136,
1986-07,0.136,
1986-08,0.138,
1986-09,0.151,
1986-10,0.150,
1986-11,0.143,
1986-12,0.143,
1987-01,0.136,
1987-02,0.137,
1987-03,0.134,
1987-04,0.134,
1987-05,0.134,
1987-06,0.127,
1987-07,0.126,
1987-08,0.125,
1987-09,0.140,
1987-10,0.139,
1987-11,0.139,
1987-12,0.135,
1988-01,0.129,
1988-02,0.135,
1988-03,0.137,
1988-04,0.252,
1988-05,0.256,
1988-06,0.309,
1988-07,0.300,
1988-08,0.265,
1988-09,0.265,
1988-10,0.265,
1988-11,0.266,
1988-12,0.267,
1989-01,0.271,
1989-02,0.277,
1989-03,0.279,
1989-04,0.312,
1989-05,0.326,
1989-06,0.321,
1989-07,0.308,
1989-08,0.312,
1989-09,0.201,
1989-10,0.201,
1989-11,0.199,
1989-12,0.199,
1990-01,0.219,
1990-02,0.218,
1990-03,0.229,
1990-04,0.274,
1990-05,0.274,
1990-06,0.271,
1990-07,0.262,
1990-08,0.280,
1990-09,0.275,
1990-10,0.287,
1990-11,0.349,
1990-12,0.344,
1991-01,0.344,
1991-02,0.416,
1991-03,0.416,
1991-04,0.416,
1991-05,0.396,
1991-06,0.362,
1991-07,0.357,
1991-08,0.348,
1991-09,0.352,
1991-10,0.347,
1991-11,0.362,
1991-12,0.364,
1992-01,0.395,
1992-02,0.407,
1992-03,0.422,
1992-04,0.428,
1992-05,0.416,
1992-06,0.391,
1992-07,0.434,
1992-08,0.447,
1992-09,0.555,
1992-10,0.553,
1992-11,0.537,
