"",BBK01.OEYB17K,BBK01.OEYB17K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:02,
2002-01,25.063,
2002-04,24.915,
2002-07,26.082,
2002-10,26.147,
2003-01,26.035,
2003-04,21.630,
2003-07,21.510,
2003-10,21.458,
2004-01,22.030,
2004-04,23.862,
2004-07,23.734,
2004-10,23.690,
2005-01,23.385,
2005-04,23.263,
2005-07,23.035,
2005-10,22.764,
2006-01,22.386,
2006-04,22.002,
2006-07,21.446,
2006-10,21.109,
2007-01,19.673,
2007-04,19.283,
2007-07,18.306,
2007-10,17.755,
2008-01,17.262,
2008-04,16.775,
2008-07,16.260,
2008-10,15.577,
2009-01,14.931,
2009-04,14.415,
2009-07,13.901,
2009-10,13.182,
2010-01,12.745,
2010-04,12.311,
2010-07,12.168,
2010-10,11.768,
2011-01,11.313,
2011-04,10.902,
2011-07,10.505,
2011-10,10.220,
2012-01,9.823,
2012-04,9.347,
2012-07,8.923,
2012-10,8.469,
2013-01,8.083,
2013-04,7.726,
2013-07,7.239,
2013-10,6.875,
2014-01,6.528,
2014-04,6.238,
2014-07,5.983,
