"",BBEX3.M.MYR.EUR.BB.AC.A02,BBEX3.M.MYR.EUR.BB.AC.A02_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = MYR ... / Malaysia,
unit,MYR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:00:42,
1999-01,4.4094,
1999-02,4.2577,
1999-03,4.1343,
1999-04,4.0680,
1999-05,4.0385,
1999-06,3.9438,
1999-07,3.9347,
1999-08,4.0270,
1999-09,3.9904,
1999-10,4.0678,
1999-11,3.9300,
1999-12,3.8435,
2000-01,3.8532,
2000-02,3.7371,
2000-03,3.6639,
2000-04,3.5988,
2000-05,3.4429,
2000-06,3.6078,
2000-07,3.5719,
2000-08,3.4363,
2000-09,3.3138,
2000-10,3.2515,
2000-11,3.2536,
2000-12,3.4094,
2001-01,3.5662,
2001-02,3.5024,
2001-03,3.4554,
2001-04,3.3899,
2001-05,3.3226,
2001-06,3.2428,
2001-07,3.2703,
2001-08,3.4222,
2001-09,3.4628,
2001-10,3.4423,
2001-11,3.3753,
2001-12,3.3914,
2002-01,3.3568,
2002-02,3.3061,
2002-03,3.3281,
2002-04,3.3664,
2002-05,3.4844,
2002-06,3.6315,
2002-07,3.7702,
2002-08,3.7158,
2002-09,3.7265,
2002-10,3.7278,
2002-11,3.8048,
2002-12,3.8707,
2003-01,4.0364,
2003-02,4.0941,
2003-03,4.1070,
2003-04,4.1225,
2003-05,4.4014,
2003-06,4.4311,
2003-07,4.3214,
2003-08,4.2331,
2003-09,4.2618,
2003-10,4.4435,
2003-11,4.4471,
2003-12,4.6670,
2004-01,4.7913,
2004-02,4.8082,
2004-03,4.6598,
2004-04,4.5548,
2004-05,4.5613,
2004-06,4.6127,
2004-07,4.6615,
2004-08,4.6274,
2004-09,4.6431,
2004-10,4.7481,
2004-11,4.9374,
2004-12,5.0960,
2005-01,4.9861,
2005-02,4.9458,
2005-03,5.0167,
2005-04,4.9163,
2005-05,4.8237,
2005-06,4.6234,
2005-07,4.5590,
2005-08,4.6216,
2005-09,4.6190,
2005-10,4.5330,
2005-11,4.4534,
2005-12,4.4796,
2006-01,4.5425,
2006-02,4.4487,
2006-03,4.4514,
2006-04,4.4918,
2006-05,4.6107,
2006-06,4.6364,
2006-07,4.6527,
2006-08,4.7078,
2006-09,4.6724,
2006-10,4.6390,
2006-11,4.6927,
2006-12,4.6909,
2007-01,4.5596,
2007-02,4.5706,
2007-03,4.6212,
2007-04,4.6449,
2007-05,4.5962,
2007-06,4.6237,
2007-07,4.7184,
2007-08,4.7457,
2007-09,4.8249,
2007-10,4.8005,
2007-11,4.9279,
2007-12,4.8576,
2008-01,4.8090,
2008-02,4.7548,
2008-03,4.9455,
2008-04,4.9819,
2008-05,5.0081,
2008-06,5.0666,
2008-07,5.1258,
2008-08,4.9843,
2008-09,4.9461,
2008-10,4.6895,
2008-11,4.5682,
2008-12,4.7755,
2009-01,4.7291,
2009-02,4.6466,
2009-03,4.7949,
2009-04,4.7562,
2009-05,4.8057,
2009-06,4.9305,
2009-07,4.9963,
2009-08,5.0185,
2009-09,5.0862,
2009-10,5.0425,
2009-11,5.0553,
2009-12,4.9859,
2010-01,4.8170,
2010-02,4.6743,
2010-03,4.5083,
2010-04,4.2935,
2010-05,4.0874,
2010-06,3.9853,
2010-07,4.0924,
2010-08,4.0654,
2010-09,4.0570,
2010-10,4.3092,
2010-11,4.2588,
2010-12,4.1313,
2011-01,4.0895,
2011-02,4.1541,
2011-03,4.2483,
2011-04,4.3502,
2011-05,4.3272,
2011-06,4.3585,
2011-07,4.2716,
2011-08,4.2822,
2011-09,4.2456,
2011-10,4.2963,
2011-11,4.2756,
2011-12,4.1639,
2012-01,4.0151,
2012-02,3.9978,
2012-03,4.0229,
2012-04,4.0277,
2012-05,3.9688,
2012-06,3.9836,
2012-07,3.8914,
2012-08,3.8643,
2012-09,3.9599,
2012-10,3.9649,
2012-11,3.9230,
2012-12,4.0075,
2013-01,4.0413,
2013-02,4.1403,
2013-03,4.0309,
2013-04,3.9686,
2013-05,3.9200,
2013-06,4.1488,
2013-07,4.1746,
2013-08,4.3631,
2013-09,4.3410,
2013-10,4.3283,
2013-11,4.3176,
2013-12,4.4517,
2014-01,4.5005,
2014-02,4.5194,
2014-03,4.5361,
2014-04,4.4989,
2014-05,4.4337,
2014-06,4.3760,
2014-07,4.3100,
2014-08,4.2310,
2014-09,4.1522,
2014-10,4.1436,
2014-11,4.1747,
2014-12,4.2903,
2015-01,4.1648,
2015-02,4.0822,
"","General: Up to March 2005, ECB indicative rates. Since April 2005 euro foreign exchange reference rates of the ECB, which are calculated on the basis of the concertation between central banks at 14.15.",
"",Source: European Central Bank (ECB).,
"",Methodology: Averages: Bundesbank calculations based on the daily euro reference exchange rates published by the ECB.,
