"",BBSF2.M.1.T.00000.SON01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.T.00000.SON01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Funds total / Other funds / Investment fund shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:36,
2009-09,53,
2009-10,85,
2009-11,290,
2009-12,416,
2010-01,504,
2010-02,560,
2010-03,597,
2010-04,558,
2010-05,730,
2010-06,796,
2010-07,789,
2010-08,874,
2010-09,827,
2010-10,971,
2010-11,996,
2010-12,1201,
2011-01,1141,
2011-02,1169,
2011-03,1143,
2011-04,1167,
2011-05,1251,
2011-06,1265,
2011-07,1407,
2011-08,1425,
2011-09,1405,
2011-10,2970,
2011-11,3214,
2011-12,3264,
2012-01,3472,
2012-02,3611,
2012-03,3657,
2012-04,3641,
2012-05,3578,
2012-06,3536,
2012-07,3616,
2012-08,3547,
2012-09,3665,
2012-10,3710,
2012-11,3902,
2012-12,4052,
2013-01,3961,
2013-02,4061,
2013-03,4238,
2013-04,4277,
2013-05,4563,
2013-06,4406,
2013-07,4437,
2013-08,4395,
2013-09,4456,
2013-10,4906,
2013-11,4940,
2013-12,5116,
2014-01,5039,
2014-02,5291,
2014-03,5205,
2014-04,5266,
2014-05,5455,
2014-06,5655,
2014-07,5729,
2014-08,6926,
2014-09,6824,
2014-10,6746,
2014-11,6924,
