"",BBK01.OEXL02I,BBK01.OEXL02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:54,
2002-01,5.017,
2002-04,5.187,
2002-07,5.031,
2002-10,5.466,
2003-01,5.551,
2003-04,5.656,
2003-07,3.318,
2003-10,3.431,
2004-01,3.843,
2004-04,3.861,
2004-07,3.857,
2004-10,3.828,
2005-01,4.062,
2005-04,4.050,
2005-07,4.264,
2005-10,4.496,
2006-01,4.697,
2006-04,4.982,
2006-07,4.937,
2006-10,7.206,
2007-01,7.431,
2007-04,7.748,
2007-07,8.007,
2007-10,8.274,
2008-01,9.091,
2008-04,9.015,
2008-07,8.869,
2008-10,13.966,
2009-01,15.450,
2009-04,16.380,
2009-07,17.258,
2009-10,19.445,
2010-01,22.443,
2010-04,21.327,
2010-07,22.297,
2010-10,23.725,
2011-01,25.394,
2011-04,27.107,
2011-07,28.643,
2011-10,30.795,
2012-01,34.612,
2012-04,37.288,
2012-07,37.407,
2012-10,38.203,
2013-01,38.662,
2013-04,39.132,
2013-07,39.474,
2013-10,39.746,
2014-01,40.775,
2014-04,41.084,
2014-07,40.238,
