"",BBK01.OEAM06S,BBK01.OEAM06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:46,
2002-01,0.061,
2002-04,0.063,
2002-07,0.064,
2002-10,0.070,
2003-01,0.076,
2003-04,0.076,
2003-07,0.076,
2003-10,0.071,
2004-01,0.071,
2004-04,0.071,
2004-07,0.038,
2004-10,0.037,
2005-01,0.035,
2005-04,0.035,
2005-07,0.035,
2005-10,0.036,
2006-01,0.030,
2006-04,0.030,
2006-07,0.031,
2006-10,0.031,
2007-01,0.031,
2007-04,0.031,
2007-07,0.030,
2007-10,0.030,
2008-01,0.029,
2008-04,0.029,
2008-07,0.030,
2008-10,0.025,
2009-01,0.024,
2009-04,0.024,
2009-07,0.026,
2009-10,0.025,
2010-01,0.037,
2010-04,0.037,
2010-07,0.047,
2010-10,0.044,
2011-01,0.036,
2011-04,0.036,
2011-07,0.030,
2011-10,0.026,
2012-01,0.020,
2012-04,0.017,
2012-07,0.017,
2012-10,0.015,
2013-01,0.019,
2013-04,0.046,
2013-07,0.070,
2013-10,0.102,
2014-01,0.131,
2014-04,0.168,
2014-07,0.220,
