"",BBK01.OEYI04O,BBK01.OEYI04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:57,
2002-01,1.034,
2002-04,1.237,
2002-07,1.241,
2002-10,1.436,
2003-01,1.371,
2003-04,2.161,
2003-07,2.111,
2003-10,1.918,
2004-01,2.144,
2004-04,1.757,
2004-07,1.832,
2004-10,1.724,
2005-01,1.867,
2005-04,2.043,
2005-07,2.524,
2005-10,2.276,
2006-01,2.234,
2006-04,2.638,
2006-07,3.771,
2006-10,3.610,
2007-01,3.047,
2007-04,3.116,
2007-07,2.663,
2007-10,3.422,
2008-01,4.145,
2008-04,3.713,
2008-07,2.634,
2008-10,2.479,
2009-01,2.315,
2009-04,2.302,
2009-07,2.598,
2009-10,2.650,
2010-01,2.553,
2010-04,2.284,
2010-07,2.212,
2010-10,2.242,
2011-01,1.851,
2011-04,1.911,
2011-07,2.169,
2011-10,2.722,
2012-01,2.257,
2012-04,2.088,
2012-07,2.332,
2012-10,2.503,
2013-01,1.767,
2013-04,1.614,
2013-07,1.426,
2013-10,1.860,
2014-01,1.415,
2014-04,1.089,
2014-07,1.075,
