"",BBK01.OEBO04Q,BBK01.OEBO04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:59,
2002-01,-0.059,
2002-04,-0.171,
2002-07,0.022,
2002-10,0.070,
2003-01,0.041,
2003-04,-0.052,
2003-07,-0.012,
2003-10,-0.080,
2004-01,-0.068,
2004-04,-0.079,
2004-07,0.061,
2004-10,-0.015,
2005-01,-0.060,
2005-04,-0.080,
2005-07,-0.026,
2005-10,-0.061,
2006-01,0.050,
2006-04,-0.065,
2006-07,-0.071,
2006-10,-0.067,
2007-01,0.181,
2007-04,0.020,
2007-07,-0.025,
2007-10,0.083,
2008-01,0.037,
2008-04,0.051,
2008-07,-0.022,
2008-10,0.277,
2009-01,0.182,
2009-04,0.147,
2009-07,0.186,
2009-10,-0.137,
2010-01,-0.038,
2010-04,-0.061,
2010-07,-0.006,
2010-10,0.124,
2011-01,0.032,
2011-04,-0.164,
2011-07,-0.074,
2011-10,-0.044,
2012-01,0.133,
2012-04,-0.105,
2012-07,-0.056,
2012-10,0.002,
2013-01,-0.195,
2013-04,-0.137,
2013-07,-0.091,
2013-10,-0.040,
2014-01,-0.052,
2014-04,-0.085,
2014-07,0.137,
