"",BBFB1.Q.N.DE.CA.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:37,
1991-01,552.832,
1991-04,520.286,
1991-07,616.551,
1991-10,515.970,
1992-01,525.517,
1992-04,473.541,
1992-07,520.691,
1992-10,480.687,
1993-01,480.444,
1993-04,341.422,
1993-07,459.664,
1993-10,510.887,
1994-01,472.787,
1994-04,550.685,
1994-07,509.710,
1994-10,532.979,
1995-01,510.257,
1995-04,491.568,
1995-07,427.282,
1995-10,472.001,
1996-01,419.048,
1996-04,427.740,
1996-07,501.938,
1996-10,485.133,
1997-01,629.750,
1997-04,701.578,
1997-07,891.413,
1997-10,878.642,
1998-01,920.037,
1998-04,999.824,
1998-07,853.414,
1998-10,732.373,
1999-01,668.281,
1999-04,854.822,
1999-07,715.832,
1999-10,828.781,
2000-01,956.020,
2000-04,975.844,
2000-07,887.652,
2000-10,783.083,
2001-01,953.441,
2001-04,1055.090,
2001-07,951.184,
2001-10,1739.522,
2002-01,1087.705,
2002-04,1324.235,
2002-07,1379.975,
2002-10,1175.748,
2003-01,1233.238,
2003-04,1021.957,
2003-07,1050.109,
2003-10,888.528,
2004-01,979.555,
2004-04,1097.167,
2004-07,1072.310,
2004-10,1103.014,
2005-01,1094.909,
2005-04,1273.456,
2005-07,1244.171,
2005-10,1285.997,
2006-01,1457.751,
2006-04,1481.627,
2006-07,1430.115,
2006-10,1527.331,
2007-01,1662.756,
2007-04,1486.062,
2007-07,1633.874,
2007-10,1568.044,
2008-01,1642.056,
2008-04,1542.767,
2008-07,1376.352,
2008-10,1564.314,
2009-01,1355.503,
2009-04,1270.491,
2009-07,1229.816,
2009-10,1321.601,
2010-01,1513.347,
2010-04,1656.502,
2010-07,1659.224,
2010-10,1515.236,
2011-01,1777.124,
2011-04,1721.214,
2011-07,1979.650,
2011-10,1856.199,
2012-01,2225.365,
2012-04,2329.035,
2012-07,2475.513,
2012-10,1982.716,
2013-01,2394.554,
2013-04,2615.867,
2013-07,2583.289,
2013-10,2100.865,
2014-01,2456.924,Provisional value
2014-04,2626.704,Provisional value
2014-07,2678.145,Provisional value
