"",BBK01.OEAH43U,BBK01.OEAH43U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:27,
2002-01,1.177,
2002-04,1.209,
2002-07,1.243,
2002-10,1.294,
2003-01,1.271,
2003-04,1.264,
2003-07,1.305,
2003-10,1.312,
2004-01,1.278,
2004-04,1.278,
2004-07,1.300,
2004-10,1.359,
2005-01,1.311,
2005-04,1.330,
2005-07,1.372,
2005-10,1.435,
2006-01,1.391,
2006-04,1.418,
2006-07,1.465,
2006-10,1.534,
2007-01,1.512,
2007-04,1.704,
2007-07,1.609,
2007-10,1.672,
2008-01,1.650,
2008-04,1.696,
2008-07,1.746,
2008-10,1.895,
2009-01,1.798,
2009-04,1.800,
2009-07,1.843,
2009-10,1.908,
2010-01,1.828,
2010-04,1.889,
2010-07,1.948,
2010-10,2.037,
2011-01,2.002,
2011-04,2.023,
2011-07,2.107,
2011-10,2.190,
2012-01,2.148,
2012-04,2.209,
2012-07,2.279,
2012-10,2.316,
2013-01,2.274,
2013-04,2.284,
2013-07,2.385,
2013-10,2.481,
2014-01,2.432,
2014-04,2.460,
2014-07,2.536,
