"",BBK01.OEAH13L,BBK01.OEAH13L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:08,
2002-01,8.977,
2002-04,8.646,
2002-07,8.709,
2002-10,8.688,
2003-01,8.324,
2003-04,7.892,
2003-07,7.688,
2003-10,7.978,
2004-01,7.986,
2004-04,7.637,
2004-07,7.520,
2004-10,7.815,
2005-01,7.792,
2005-04,7.478,
2005-07,7.270,
2005-10,7.165,
2006-01,7.094,
2006-04,7.456,
2006-07,7.958,
2006-10,8.682,
2007-01,9.260,
2007-04,9.312,
2007-07,9.290,
2007-10,9.277,
2008-01,8.565,
2008-04,7.926,
2008-07,7.690,
2008-10,8.639,
2009-01,8.935,
2009-04,9.525,
2009-07,10.080,
2009-10,10.539,
2010-01,10.417,
2010-04,9.527,
2010-07,8.585,
2010-10,8.204,
2011-01,7.926,
2011-04,7.746,
2011-07,7.571,
2011-10,7.396,
2012-01,7.052,
2012-04,6.759,
2012-07,6.214,
2012-10,5.825,
2013-01,5.374,
2013-04,5.012,
2013-07,4.777,
2013-10,4.857,
2014-01,4.944,
2014-04,4.973,
2014-07,5.134,
