"",BBK01.PQB352,BBK01.PQB352_FLAGS
"",Lending to domestic enterprises and resident individuals / Medium-term / Commercial banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:19:56,
1958-10,1.249,
1959-01,-,Nothing exists
1959-04,1.542,
1959-07,-,Nothing exists
1959-10,1.914,
1960-01,-,Nothing exists
1960-04,1.984,
1960-07,-,Nothing exists
1960-10,2.074,
1961-01,-,Nothing exists
1961-04,2.426,
1961-07,-,Nothing exists
1961-10,2.569,
1962-01,-,Nothing exists
1962-04,2.869,
1962-07,-,Nothing exists
1962-10,3.382,
1963-01,-,Nothing exists
1963-04,3.780,
1963-07,-,Nothing exists
1963-10,4.006,
1964-01,-,Nothing exists
1964-04,4.067,
1964-07,-,Nothing exists
1964-10,4.301,
1965-01,4.367,
1965-04,4.605,
1965-07,5.000,
1965-10,5.040,
1966-01,5.317,
1966-04,5.652,
1966-07,5.982,
1966-10,6.014,
1967-01,5.866,
1967-04,5.896,
1967-07,5.775,
1967-10,5.930,
1968-01,5.904,
1968-04,6.289,
1968-07,6.230,
1968-10,5.943,
1969-01,6.129,
1969-04,6.257,
1969-07,6.233,
1969-10,6.986,
1970-01,6.968,
1970-04,7.280,
1970-07,7.687,
1970-10,8.145,
1971-01,8.288,
1971-04,8.484,
1971-07,9.015,
1971-10,9.935,
1972-01,9.664,
1972-04,10.050,
1972-07,10.794,
1972-10,12.472,
1973-01,13.460,
1973-04,14.433,
1973-07,14.193,
1973-10,13.926,
1974-01,13.487,
1974-04,13.340,
1974-07,13.332,
1974-10,13.166,
1975-01,11.877,
1975-04,11.413,
1975-07,11.193,
1975-10,11.786,
1976-01,11.379,
1976-04,11.737,
1976-07,12.276,
1976-10,13.556,
1977-01,12.823,
1977-04,13.373,
1977-07,13.658,
1977-10,14.645,
1978-01,14.163,
1978-04,14.358,
1978-07,14.911,
1978-10,16.159,
1979-01,15.868,
1979-04,16.445,
1979-07,16.876,
1979-10,17.492,
1980-01,16.856,
1980-04,16.784,
1980-07,16.563,
1980-10,17.703,
1981-01,17.233,
1981-04,17.343,
1981-07,17.937,
1981-10,19.460,
1982-01,19.220,
1982-04,20.042,
1982-07,20.648,
1982-10,21.838,
1983-01,20.794,
1983-04,21.106,
1983-07,21.951,
1983-10,23.534,
1984-01,22.777,
1984-04,23.121,
1984-07,22.920,
1984-10,22.653,
1985-01,21.698,
1985-04,21.297,
1985-07,21.113,
1985-10,21.447,
1986-01,20.577,
1986-04,20.098,
1986-07,19.997,
1986-10,27.271,
1987-01,26.840,
1987-04,27.016,
1987-07,27.599,
1987-10,27.851,
1988-01,27.441,
1988-04,28.051,
1988-07,28.643,
1988-10,29.036,
1989-01,29.142,
1989-04,29.515,
1989-07,29.936,
1989-10,31.129,
1990-01,32.637,
1990-04,33.326,
1990-07,34.044,
1990-10,35.947,
1991-01,36.791,
1991-04,38.643,
1991-07,40.553,
1991-10,41.257,
1992-01,42.289,
1992-04,43.935,
1992-07,45.597,
1992-10,46.817,
1993-01,46.957,
1993-04,48.257,
1993-07,48.181,
1993-10,48.338,
1994-01,49.618,
1994-04,48.933,
1994-07,48.660,
1994-10,47.582,
1995-01,47.313,
1995-04,47.290,
1995-07,43.784,
1995-10,43.931,
1996-01,43.909,
1996-04,44.081,
1996-07,44.142,
1996-10,43.833,
1997-01,43.136,
1997-04,43.321,
1997-07,42.671,
1997-10,42.978,
1998-01,42.144,
1998-04,41.894,
1998-07,42.007,
1998-10,40.884,
1999-01,62.609,
1999-04,61.513,
1999-07,62.365,
1999-10,61.274,
2000-01,63.083,
2000-04,64.260,
2000-07,68.581,
2000-10,70.579,
2001-01,69.440,
2001-04,66.520,
2001-07,67.819,
2001-10,67.187,
2002-01,65.442,
2002-04,68.881,
2002-07,69.559,
2002-10,69.386,
2003-01,70.793,
2003-04,71.537,
2003-07,72.479,
2003-10,74.273,
2004-01,75.446,
2004-04,77.941,
2004-07,79.788,
2004-10,79.074,
2005-01,78.397,
2005-04,78.726,
2005-07,77.697,
2005-10,78.010,
2006-01,77.878,
2006-04,79.576,
2006-07,81.598,
2006-10,80.277,
2007-01,83.919,
2007-04,86.134,
2007-07,87.336,
2007-10,88.597,
2008-01,91.803,
2008-04,93.265,
2008-07,92.369,
2008-10,95.094,
2009-01,96.294,
2009-04,100.864,
2009-07,101.345,
2009-10,105.401,
2010-01,102.065,
2010-04,102.128,
2010-07,102.517,
2010-10,104.452,
2011-01,104.230,
2011-04,102.136,
2011-07,111.385,
2011-10,111.823,
2012-01,110.158,
2012-04,111.157,
2012-07,111.523,
2012-10,112.116,
2013-01,112.799,
2013-04,114.188,
2013-07,112.064,
2013-10,112.702,
2014-01,112.994,
2014-04,111.962,
2014-07,113.222,
2014-10,115.154,
