"",BBK01.OELB12J,BBK01.OELB12J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:42,
2002-01,0.065,
2002-04,0.065,
2002-07,0.063,
2002-10,0.063,
2003-01,0.060,
2003-04,0.059,
2003-07,0.058,
2003-10,0.057,
2004-01,0.056,
2004-04,0.056,
2004-07,0.057,
2004-10,0.059,
2005-01,0.060,
2005-04,0.062,
2005-07,0.059,
2005-10,0.059,
2006-01,0.061,
2006-04,0.064,
2006-07,0.064,
2006-10,0.062,
2007-01,0.060,
2007-04,0.063,
2007-07,0.063,
2007-10,0.065,
2008-01,0.067,
2008-04,0.067,
2008-07,0.071,
2008-10,0.075,
2009-01,0.075,
2009-04,0.084,
2009-07,0.085,
2009-10,0.091,
2010-01,0.089,
2010-04,0.090,
2010-07,0.085,
2010-10,0.096,
2011-01,0.099,
2011-04,0.109,
2011-07,0.113,
2011-10,0.106,
2012-01,0.107,
2012-04,0.164,
2012-07,0.168,
2012-10,0.176,
2013-01,0.181,
2013-04,0.178,
2013-07,0.178,
2013-10,0.183,
2014-01,0.170,
2014-04,0.175,
2014-07,0.175,
