"",BBK01.OEYM01H,BBK01.OEYM01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:31,
2002-01,3.559,
2002-04,3.271,
2002-07,3.047,
2002-10,2.577,
2003-01,2.422,
2003-04,2.740,
2003-07,2.677,
2003-10,2.526,
2004-01,2.395,
2004-04,1.847,
2004-07,1.834,
2004-10,2.318,
2005-01,2.205,
2005-04,2.759,
2005-07,2.539,
2005-10,2.542,
2006-01,2.591,
2006-04,3.543,
2006-07,4.164,
2006-10,4.000,
2007-01,3.637,
2007-04,3.550,
2007-07,5.637,
2007-10,6.820,
2008-01,8.279,
2008-04,9.368,
2008-07,8.364,
2008-10,5.011,
2009-01,3.677,
2009-04,3.883,
2009-07,3.889,
2009-10,3.640,
2010-01,4.565,
2010-04,4.315,
2010-07,5.153,
2010-10,21.729,
2011-01,19.970,
2011-04,16.516,
2011-07,21.744,
2011-10,16.621,
2012-01,15.765,
2012-04,16.995,
2012-07,14.735,
2012-10,14.578,
2013-01,16.372,
2013-04,14.695,
2013-07,7.851,
2013-10,6.634,
2014-01,6.570,
2014-04,6.626,
2014-07,6.517,
