"",BBK01.OEAO06L,BBK01.OEAO06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:46,
2002-01,44.075,
2002-04,42.840,
2002-07,43.330,
2002-10,44.971,
2003-01,45.114,
2003-04,44.877,
2003-07,44.813,
2003-10,45.704,
2004-01,45.674,
2004-04,45.502,
2004-07,45.614,
2004-10,46.662,
2005-01,49.986,
2005-04,49.647,
2005-07,49.134,
2005-10,49.582,
2006-01,49.333,
2006-04,49.343,
2006-07,49.049,
2006-10,49.116,
2007-01,48.142,
2007-04,46.734,
2007-07,44.815,
2007-10,43.491,
2008-01,41.445,
2008-04,40.099,
2008-07,38.821,
2008-10,39.687,
2009-01,40.970,
2009-04,42.765,
2009-07,45.282,
2009-10,47.640,
2010-01,49.208,
2010-04,46.639,
2010-07,46.560,
2010-10,47.460,
2011-01,47.912,
2011-04,45.938,
2011-07,45.501,
2011-10,45.350,
2012-01,45.382,
2012-04,44.951,
2012-07,44.325,
2012-10,44.128,
2013-01,43.632,
2013-04,43.276,
2013-07,43.074,
2013-10,43.448,
2014-01,42.909,
2014-04,42.295,
2014-07,42.155,
