"",BBK01.OEAE02S,BBK01.OEAE02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:47,
2002-01,4.370,
2002-04,4.363,
2002-07,4.248,
2002-10,4.209,
2003-01,4.193,
2003-04,4.213,
2003-07,4.209,
2003-10,4.189,
2004-01,4.158,
2004-04,4.127,
2004-07,4.180,
2004-10,2.889,
2005-01,2.869,
2005-04,2.874,
2005-07,2.887,
2005-10,2.888,
2006-01,2.882,
2006-04,2.868,
2006-07,2.873,
2006-10,2.862,
2007-01,2.863,
2007-04,2.844,
2007-07,2.854,
2007-10,2.849,
2008-01,2.870,
2008-04,2.875,
2008-07,2.849,
2008-10,2.848,
2009-01,3.182,
2009-04,3.239,
2009-07,3.245,
2009-10,3.348,
2010-01,3.288,
2010-04,3.319,
2010-07,3.408,
2010-10,3.464,
2011-01,3.465,
2011-04,3.520,
2011-07,3.535,
2011-10,3.563,
2012-01,3.554,
2012-04,3.560,
2012-07,3.560,
2012-10,3.591,
2013-01,3.623,
2013-04,3.677,
2013-07,3.653,
2013-10,3.780,
2014-01,3.741,
2014-04,3.763,
2014-07,3.756,
