"",BBK01.OEAL03H,BBK01.OEAL03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:07,
2002-01,35.492,
2002-04,33.567,
2002-07,33.328,
2002-10,33.363,
2003-01,32.651,
2003-04,31.230,
2003-07,30.193,
2003-10,29.933,
2004-01,28.904,
2004-04,27.841,
2004-07,27.319,
2004-10,27.653,
2005-01,27.793,
2005-04,27.483,
2005-07,27.276,
2005-10,28.243,
2006-01,28.748,
2006-04,29.287,
2006-07,30.508,
2006-10,32.537,
2007-01,34.135,
2007-04,35.637,
2007-07,39.073,
2007-10,42.719,
2008-01,45.728,
2008-04,48.035,
2008-07,51.147,
2008-10,55.592,
2009-01,48.690,
2009-04,43.712,
2009-07,39.225,
2009-10,36.190,
2010-01,31.393,
2010-04,30.509,
2010-07,29.346,
2010-10,29.125,
2011-01,28.731,
2011-04,28.720,
2011-07,29.011,
2011-10,29.830,
2012-01,29.445,
2012-04,28.530,
2012-07,27.426,
2012-10,25.310,
2013-01,24.235,
2013-04,24.387,
2013-07,24.255,
2013-10,24.280,
2014-01,24.673,
2014-04,24.370,
2014-07,24.066,
