"",BBK01.OECM01Q,BBK01.OECM01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:25,
2002-01,0.108,
2002-04,0.102,
2002-07,0.101,
2002-10,0.110,
2003-01,0.183,
2003-04,0.148,
2003-07,0.171,
2003-10,0.186,
2004-01,0.083,
2004-04,0.061,
2004-07,0.052,
2004-10,0.094,
2005-01,0.088,
2005-04,0.089,
2005-07,0.084,
2005-10,0.113,
2006-01,0.106,
2006-04,0.108,
2006-07,0.143,
2006-10,0.162,
2007-01,0.142,
2007-04,0.166,
2007-07,0.146,
2007-10,0.148,
2008-01,0.146,
2008-04,0.188,
2008-07,0.157,
2008-10,0.179,
2009-01,0.106,
2009-04,0.127,
2009-07,0.105,
2009-10,0.086,
2010-01,0.078,
2010-04,0.072,
2010-07,0.074,
2010-10,0.051,
2011-01,0.043,
2011-04,0.055,
2011-07,0.069,
2011-10,0.110,
2012-01,0.243,
2012-04,0.160,
2012-07,0.094,
2012-10,0.149,
2013-01,0.081,
2013-04,0.069,
2013-07,0.059,
2013-10,0.064,
2014-01,0.080,
2014-04,0.062,
2014-07,0.060,
