"",BBK01.OEAC52I,BBK01.OEAC52I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:11,
2002-01,0.754,
2002-04,0.849,
2002-07,0.809,
2002-10,0.769,
2003-01,0.599,
2003-04,0.573,
2003-07,0.498,
2003-10,0.491,
2004-01,0.478,
2004-04,0.465,
2004-07,0.481,
2004-10,0.448,
2005-01,0.441,
2005-04,0.495,
2005-07,0.449,
2005-10,0.503,
2006-01,0.593,
2006-04,0.602,
2006-07,0.726,
2006-10,0.671,
2007-01,0.727,
2007-04,0.750,
2007-07,0.758,
2007-10,0.826,
2008-01,0.840,
2008-04,0.922,
2008-07,0.912,
2008-10,0.806,
2009-01,0.815,
2009-04,0.778,
2009-07,1.040,
2009-10,1.112,
2010-01,1.092,
2010-04,1.086,
2010-07,1.019,
2010-10,1.047,
2011-01,1.129,
2011-04,1.133,
2011-07,1.177,
2011-10,1.177,
2012-01,1.304,
2012-04,1.365,
2012-07,1.396,
2012-10,1.507,
2013-01,1.485,
2013-04,1.468,
2013-07,1.483,
2013-10,1.648,
2014-01,1.658,
2014-04,1.632,
2014-07,1.630,
