"",BBK01.OEAD03L,BBK01.OEAD03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:51,
2002-01,1.003,
2002-04,1.153,
2002-07,0.939,
2002-10,0.868,
2003-01,0.804,
2003-04,0.878,
2003-07,0.802,
2003-10,0.825,
2004-01,0.826,
2004-04,0.830,
2004-07,0.865,
2004-10,0.993,
2005-01,0.927,
2005-04,0.895,
2005-07,0.909,
2005-10,0.885,
2006-01,1.018,
2006-04,0.831,
2006-07,0.827,
2006-10,0.937,
2007-01,0.991,
2007-04,0.922,
2007-07,0.868,
2007-10,3.196,
2008-01,3.067,
2008-04,3.125,
2008-07,3.009,
2008-10,2.947,
2009-01,3.473,
2009-04,3.216,
2009-07,3.099,
2009-10,2.963,
2010-01,2.656,
2010-04,2.423,
2010-07,2.080,
2010-10,1.515,
2011-01,1.741,
2011-04,1.885,
2011-07,1.726,
2011-10,1.437,
2012-01,1.376,
2012-04,1.364,
2012-07,1.158,
2012-10,1.182,
2013-01,1.003,
2013-04,1.018,
2013-07,0.916,
2013-10,0.885,
2014-01,0.895,
2014-04,0.813,
2014-07,0.929,
