"",BBSF2.M.1.S.00000.GEF01.I.F.GMP.DE.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.GEF01.I.F.GMP.DE.00000.F33100.Z01.B1_FLAGS
"",Special investors funds / Mixed funds / Short-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:03,
2009-09,226,
2009-10,176,
2009-11,154,
2009-12,109,
2010-01,38,
2010-02,38,
2010-03,53,
2010-04,70,
2010-05,216,
2010-06,180,
2010-07,216,
2010-08,233,
2010-09,353,
2010-10,355,
2010-11,404,
2010-12,450,
2011-01,474,
2011-02,474,
2011-03,469,
2011-04,583,
2011-05,589,
2011-06,636,
2011-07,715,
2011-08,616,
2011-09,669,
2011-10,730,
2011-11,599,
2011-12,675,
2012-01,625,
2012-02,618,
2012-03,634,
2012-04,1044,
2012-05,1044,
2012-06,974,
2012-07,591,
2012-08,530,
2012-09,451,
2012-10,391,
2012-11,318,
2012-12,230,
2013-01,342,
2013-02,362,
2013-03,332,
2013-04,310,
2013-05,361,
2013-06,477,
2013-07,490,
2013-08,508,
2013-09,541,
2013-10,543,
2013-11,598,
2013-12,458,
2014-01,433,
2014-02,404,
2014-03,370,
2014-04,298,
2014-05,327,
2014-06,404,
2014-07,449,
2014-08,218,
2014-09,267,
2014-10,250,
2014-11,232,
