"",BBK01.OEAE29R,BBK01.OEAE29R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:43,
2002-01,1.925,
2002-04,1.929,
2002-07,1.990,
2002-10,1.998,
2003-01,1.823,
2003-04,1.834,
2003-07,1.841,
2003-10,1.868,
2004-01,1.870,
2004-04,1.861,
2004-07,1.868,
2004-10,1.856,
2005-01,1.874,
2005-04,1.837,
2005-07,1.888,
2005-10,1.881,
2006-01,1.879,
2006-04,1.892,
2006-07,1.940,
2006-10,1.999,
2007-01,2.008,
2007-04,1.975,
2007-07,1.947,
2007-10,1.988,
2008-01,2.253,
2008-04,2.298,
2008-07,2.328,
2008-10,2.320,
2009-01,2.747,
2009-04,2.781,
2009-07,2.787,
2009-10,2.993,
2010-01,2.842,
2010-04,2.882,
2010-07,2.906,
2010-10,2.913,
2011-01,2.905,
2011-04,2.929,
2011-07,2.932,
2011-10,2.938,
2012-01,2.939,
2012-04,2.944,
2012-07,2.937,
2012-10,3.022,
2013-01,3.015,
2013-04,3.071,
2013-07,3.083,
2013-10,3.118,
2014-01,3.144,
2014-04,3.172,
2014-07,3.180,
