"",BBK01.OEHB10L,BBK01.OEHB10L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:47,
2002-01,3.081,
2002-04,3.162,
2002-07,2.970,
2002-10,2.846,
2003-01,2.642,
2003-04,2.669,
2003-07,2.526,
2003-10,2.487,
2004-01,2.387,
2004-04,2.370,
2004-07,2.224,
2004-10,2.150,
2005-01,2.122,
2005-04,2.173,
2005-07,2.132,
2005-10,2.467,
2006-01,2.126,
2006-04,2.110,
2006-07,2.011,
2006-10,1.885,
2007-01,1.956,
2007-04,1.993,
2007-07,2.022,
2007-10,1.895,
2008-01,1.946,
2008-04,2.037,
2008-07,1.961,
2008-10,1.918,
2009-01,2.111,
2009-04,2.352,
2009-07,2.119,
2009-10,1.930,
2010-01,1.958,
2010-04,1.854,
2010-07,1.826,
2010-10,1.821,
2011-01,1.902,
2011-04,1.920,
2011-07,1.879,
2011-10,1.865,
2012-01,2.062,
2012-04,2.032,
2012-07,1.956,
2012-10,1.816,
2013-01,1.941,
2013-04,1.905,
2013-07,1.825,
2013-10,1.734,
2014-01,1.796,
2014-04,1.742,
2014-07,1.710,
