"",BBK01.OEBB24V,BBK01.OEBB24V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:18,
2002-01,2.226,
2002-04,2.223,
2002-07,2.277,
2002-10,2.341,
2003-01,2.299,
2003-04,2.320,
2003-07,2.354,
2003-10,2.417,
2004-01,2.508,
2004-04,2.508,
2004-07,2.548,
2004-10,2.623,
2005-01,2.947,
2005-04,2.943,
2005-07,2.940,
2005-10,2.883,
2006-01,2.825,
2006-04,2.469,
2006-07,2.482,
2006-10,2.430,
2007-01,2.368,
2007-04,2.297,
2007-07,2.234,
2007-10,2.007,
2008-01,1.922,
2008-04,1.873,
2008-07,1.727,
2008-10,1.683,
2009-01,1.633,
2009-04,1.631,
2009-07,1.597,
2009-10,1.468,
2010-01,1.538,
2010-04,1.534,
2010-07,1.863,
2010-10,1.884,
2011-01,1.872,
2011-04,1.809,
2011-07,1.721,
2011-10,1.701,
2012-01,1.649,
2012-04,1.584,
2012-07,1.519,
2012-10,1.525,
2013-01,1.444,
2013-04,1.395,
2013-07,1.360,
2013-10,1.431,
2014-01,1.442,
2014-04,1.362,
2014-07,1.331,
